target,뜻,기존레벨,제안레벨,zipf,조회형,변경
보수성,새로운 변화를 꺼리고 기존의 가치나 질서를 그대로 유지하려는 성향,2,1,4.64,보수,Y
사례,어떤 일이 전에 실제로 일어난 예,2,1,4.63,사례,Y
정체성,변하지 않는 자신의 본질이나 유일한 존재로서의 자각,2,1,4.63,정체,Y
상관관계,한쪽이 변하면 다른 한쪽도 따라서 변하는 관계,2,1,4.61,상관관계,Y
경력,어떤 분야에서 일해 온 경험이나 과정,2,1,4.60,경력,Y
지도자,어떤 단체나 조직을 이끄는 사람,2,1,4.60,지도자,Y
의무,마땅히 해야 할 책무나 일,2,1,4.59,의무,Y
감소,수량이나 정도가 줄어듦,2,1,4.58,감소,Y
불과,어떤 수량이나 정도가 그 수준에 지나지 아니함,2,1,4.58,불과,Y
진화,상황의 요구에 맞게 점차 더 완숙하고 다채로운 방향으로 발전함,2,1,4.58,진화,Y
측정,일정한 양을 도구로 재어 수치화함,2,1,4.58,측정,Y
통계적,수치와 데이터에 따르는 것,2,1,4.58,통계적,Y
비율,두 수 또는 두 양의 크기를 비교하여 나타낸 값,2,1,4.57,비율,Y
경계,사물들이 구분되는 한계,2,1,4.56,경계,Y
기원,사물이 처음으로 생김. 또는 그런 근원,2,1,4.56,기원,Y
소송,법원에 재판을 청구하여 권리나 의무를 다투는 절차,2,1,4.56,소송,Y
수요,어떤 재화나 서비스를 일정한 가격에 사고자 하는 욕구,2,1,4.55,수요,Y
절차,일을 치르는 데 거쳐야 하는 순서나 방법,2,1,4.54,절차,Y
증가율,일정한 기간 동안 수량이나 수치가 늘어나는 비율,2,1,4.53,증가율,Y
추정,미루어 생각하여 판정함,2,1,4.52,추정,Y
핵심,사물의 가장 중심이 되는 부분,2,1,4.52,핵심,Y
필수,꼭 있어야 하거나 하지 않으면 안 됨.,2,1,4.51,필수,Y
향상,실력이나 수준 따위를 더 좋게 만듦,2,1,4.51,향상,Y
저항성,외부의 압력이나 순응의 요구에 맞서 버텨내는 성질,2,1,4.50,저항,Y
투입,필요한 곳에 사람이나 물자 따위를 넣어 씀,2,1,4.50,투입,Y
유도,어떤 방향이나 상태로 이끎,2,1,4.48,유도,Y
정규,정해진 규칙이나 규격에 맞음,2,1,4.47,정규,Y
폐쇄,문이나 통로를 닫아 잠금,2,1,4.47,폐쇄,Y
경향성,어떤 방향으로 쏠리거나 치우쳐 흘러가려는 특성,2,1,4.45,경향,Y
수용성,어떠한 것을 있는 그대로 받아들이는 성질이나 능력,2,1,4.45,수용,Y
양성,가르쳐서 길러냄,2,1,4.44,양성,Y
존경,타인의 숭고한 인격이나 성취를 우러러보고 소중히 대함,2,1,4.43,존경,Y
주관,자기만의 고유한 관점이나 주관적인 생각 혹은 판단,2,1,4.43,주관,Y
혁신,"묵은 풍속, 관습, 조직, 방법 따위를 완전히 바꾸어서 새롭게 함",2,1,4.43,혁신,Y
효율,들인 노력과 얻은 결과의 비율.,2,1,4.43,효율,Y
전반,어떤 범위 안의 모든 부분.,2,1,4.41,전반,Y
영업이익,기업이 영업 활동을 통해 얻은 이익,2,1,4.40,영업이익,Y
한계,사물이나 현상이 더 이상 나아갈 수 없는 끝.,2,1,4.40,한계,Y
공약,공적으로 내건 약속,2,1,4.39,공약,Y
일시성,영원하지 못하고 아주 잠깐 동안만 머물다 사라지는 성질,2,1,4.39,일시,Y
학위,대학이나 대학원에서 일정한 과정을 마친 사람에게 주는 자격,2,1,4.38,학위,Y
선임,어떤 직책이나 임무를 맡을 사람을 뽑음,2,1,4.36,선임,Y
이성,감정에 휘둘리지 않고 사리를 올바르게 분별하여 생각하고 논리적으로 추론하는 힘,2,1,4.35,이성,Y
전형,같은 부류의 특징을 가장 잘 나타내는 대표적인 표본이나 인물,2,1,4.35,전형,Y
극복,앞길을 가로막는 시련이나 어려움을 단단한 의지로 이겨 냄,2,1,4.34,극복,Y
확산,흩어져 널리 퍼짐,2,1,4.34,확산,Y
상실감,무엇인가를 잃어버린 후에 느끼는 허전한 감정이나 상태,2,1,4.34,상실,Y
가시화,현상이 실제로 일어남 또는 눈에 보이게 됨,2,1,4.33,가시,Y
가시적,눈으로 볼 수 있는. 또는 그런 것,2,1,4.33,가시적,Y
개방적,태도나 생각 따위가 거리낌 없고 열려 있는. 또는 그런 것,2,1,4.33,개방적,Y
규제,규칙을 세워 제한함,2,1,4.31,규제,Y
주체성,어떤 일을 하는 데 스스로의 의지에 따라 처리하는 성질,2,1,4.31,주체,Y
동화,서로 다른 성질이나 집단이 시간이 흐르면서 점차 서로 닮아가거나 같아짐,2,1,4.30,동화,Y
추측,미루어 생각하여 헤아림.,2,1,4.30,추측,Y
포스트시즌,정규 시즌이 끝난 뒤 우승 팀을 가리기 위해 벌이는 경기 방식,2,1,4.30,포스트시즌,Y
당국,어떤 일을 직접 맡아 처리하는 관청이나 부서,2,1,4.29,당국,Y
출간,책이나 신문 따위를 만들어 세상에 내놓음,2,1,4.29,출간,Y
비판여론,어떤 현상이나 인물에 대하여 잘못된 점을 지적하는 사회적 의견,2,1,4.27,비판여론,Y
제약,행동이나 현상이 마음대로 펼쳐지지 못하도록 막아 두는 한계나 조건,2,1,4.27,제약,Y
가량,어림잡아 그 정도.,2,1,4.26,가량,Y
접수,서류나 물건 따위를 받아들임,2,1,4.25,접수,Y
초점,어떤 일의 중심이 되는 부분.,2,1,4.25,초점,Y
건립안,건물이나 시설 따위를 세우는 것에 관한 안건,2,1,4.24,건립안,Y
극단적,길이나 일의 진행이 끝까지 미쳐 더 나아갈 데가 없는. 또는 그런 것,2,1,4.24,극단적,Y
방안,일을 처리하거나 해결하여 나갈 방법이나 계획,2,1,4.22,방안,Y
가동률,설비나 기계가 실제로 작동하는 비율,2,1,4.21,가동률,Y
안보,국가의 안전을 보장함,2,1,4.21,안보,Y
이행,"약속이나 계약, 의무 따위를 실제로 행함",2,1,4.21,이행,Y
자아,자기 자신을 타인이나 대상과 뚜렷이 구별하여 의식하는 주체적인 마음,2,1,4.21,자아,Y
특유,특별히 그 대상만이 가지고 있음,2,1,4.21,특유,Y
합리성,이치와 논리에 어긋나지 않고 타당한 성질,2,1,4.21,합리,Y
합리화,자신의 비겁한 행동이나 선택에 그럴듯한 이유를 대어 정당하게 만듦,2,1,4.21,합리,Y
신선하다,새롭고 산뜻하다,2,1,4.20,신선하다,Y
전제,어떤 사물이나 현상을 이루기 위하여 먼저 내세우는 바탕,2,1,4.18,전제,Y
반성적,자신의 언행에 대하여 잘못이나 부족함이 없는지 돌이켜 보는. 또는 그런 것,2,1,4.18,반성적,Y
혐오,싫어하고 미워함,2,1,4.18,혐오,Y
건전성,사물이나 상태가 탈이 없이 건강하고 올바른 성질,2,1,4.17,건전,Y
대안,대신할 만한 안,2,1,4.17,대안,Y
민중,국가나 사회를 구성하는 일반 국민,2,1,4.17,민중,Y
내면화,"사회적 가치, 도덕적 규범, 타인의 기대 등을 받아들여 자기 것으로 만듦",2,1,4.16,내면,Y
합병,"둘 이상의 기구나 단체, 나라 따위가 하나로",2,1,4.16,합병,Y
독점적,물건이나 자리 따위를 독차지하는. 또는 그런 것,2,1,4.16,독점적,Y
대체로,일반적으로 보아 거의 다,2,1,4.15,대체로,Y
자율성,남의 지배나 구속을 받지 아니하고 스스로의 원칙에 따라 통제하고 다스리는 성질,2,1,4.14,자율,Y
보편적,두루 널리 미치는. 또는 그런 것,2,1,4.14,보편적,Y
융합,다른 종류의 것이 녹아서 서로 구별이 없게 하나로 합해짐,2,1,4.12,융합,Y
기호,"어떠한 뜻을 나타내기 위해 사용하는 문자, 마크, 신호",2,1,4.10,기호,Y
지명,이름을 들어 가리킴.,2,1,4.10,지명,Y
분열,조화롭던 전체가 낱낱의 조각으로 찢어지고 흩어짐,2,1,4.09,분열,Y
수동성,스스로 결정하여 결단하지 못하고 남의 힘과 상황에 이끌려 행동하는 성질,2,1,4.09,수동,Y
자비,타인의 허물을 깊이 감싸안고 그의 아픔을 안타깝게 여겨 널리 사랑을 베풂,2,1,4.09,자비,Y
파란,예상하지 못한 놀라운 일이나 사건.,2,1,4.09,파란,Y
전망,앞날을 헤아려 내다봄. 또는 내다보이는 장래의 상황,2,1,4.08,전망,Y
신축적,늘고 주는 성질이 있는. 또는 그런 것,2,1,4.08,신축적,Y
이탈,"정해진 가치, 궤도, 관계 혹은 집단의 굴레로부터 빠져 벗어남",2,1,4.07,이탈,Y
지성,사물의 옳고 그름과 본질을 꿰뚫어 보고 윤리적으로 바른 판단을 내리는 지적 능력,2,1,4.07,지성,Y
초래,어떤 결과를 가져오게 함,2,1,4.07,초래,Y
징계,잘못을 저지른 사람에게 주는 벌,2,1,4.06,징계,Y
중도적,어느 한쪽으로 치우치지 아니하고 가운데에 있는. 또는 그런 것,2,1,4.06,중도적,Y
민감성,자극이나 변화를 아주 작고 세밀한 부분까지 기민하게 느끼는 성질,2,1,4.05,민감성,Y
예선,본선에 나갈 사람이나 팀을 뽑기 위하여 미리 치르는 경기,2,1,4.05,예선,Y
진전,일이 앞을 향하여 나아감,2,1,4.05,진전,Y
정교하다,솜씨나 기술 따위가 정밀하고 교묘하다,2,1,4.05,정교하다,Y
갱신,이미 있던 것을 새것으로 바꾸거나 유효 기간을 늘림.,2,1,4.04,갱신,Y
맥락,사건이나 문장의 앞뒤 연결 관계,2,1,4.04,맥락,Y
지표,"방향이나 목적, 기준 따위를 나타내는 표지",2,1,4.04,지표,Y
거점,활동의 근거가 되는 중심지,2,1,4.03,거점,Y
경계령,경계할 것을 명령하거나 알리는 일,2,1,4.02,경계령,Y
부가,주된 것에 덧붙임,2,1,4.02,부가,Y
순식간,눈 깜짝할 사이,2,1,4.02,순식간,Y
양심고백,자신의 양심에 비추어 숨겨왔던 사실을 솔직하게 털어놓음,2,1,4.02,양심고백,Y
유력,어떤 일이 일어날 가능성이 매우 높음,2,1,4.02,유력,Y
착수,어떤 일을 시작함,2,1,4.02,착수,Y
재정건전성,국가나 지방 자치 단체의 재정 상태가 건전한 정도,2,1,4.01,재정건전,Y
보복,남이 한 행동에 대하여 그와 똑같이 해를 입히는 일,2,1,4.00,보복,Y
억압,힘이나 권력으로 상대방을 억누르고 자유를 빼앗음,2,1,4.00,억압,Y
발급,증명서 따위를 발행하여 줌.,1,2,3.99,발급,Y
동참,어떤 모임이나 일에 같이 참가함,1,2,3.99,동참,Y
옹호,두둔하고 편들어 지킴,1,2,3.99,옹호,Y
의거,어떤 사실이나 원리 따위에 근거함,1,2,3.99,의거,Y
표명,의사나 태도를 분명하게 드러냄. ‘밝힘’으로 순화,1,2,3.99,표명,Y
식별,분별하여 알아봄,1,2,3.99,식별,Y
개요,간결하게 추려 낸 주요 내용,1,2,3.99,개요,Y
무상성,세상의 모든 존재나 상황이 영원하지 않고 끊임없이 변화하여 덧없음,3,2,3.98,무상성,Y
미시적,어떤 사물이나 현상을 개별이나 부분으로 작게 나누어 생각하는 것,3,2,3.98,미시적,Y
중시,가볍게 여길 수 없을 만큼 매우 크고 중요하게 여김.,1,2,3.98,중시,Y
추출,"전체 속에서 어떤 물건, 생각, 요소 따위를 뽑아냄",1,2,3.98,추출,Y
첨단,시대의 사조나 유행 따위의 맨 앞장,1,2,3.98,첨단,Y
부과,세금이나 부담금 따위를 매기어 부담하게 함,1,2,3.98,부과,Y
증진,기운이나 세력 따위가 점점 더 늘어 가고 나아감,1,2,3.98,증진,Y
치열,기세나 세력 따위가 불길같이 맹렬함,1,2,3.98,치열,Y
고립,다른 사람이나 사회와 관계를 끊고 홀로 남겨진 상태,1,2,3.97,고립,Y
표본,본보기로 삼을 만한 대표적인 것,1,2,3.97,표본,Y
집합,사람들을 한곳으로 모으거나 모임,1,2,3.97,집합,Y
배후,등의 뒤,1,2,3.97,배후,Y
연산,일정한 규칙에 따라 식을 계산함,1,2,3.97,연산,Y
정렬,가지런하게 줄지어 늘어섬. 또는 그렇게 늘어서게 함. ‘가지런히 함’으로 순화,1,2,3.97,정렬,Y
포괄,일정한 대상이나 현상 따위를 어떤 범위나 한계 안에 모두 끌어 넣음,1,2,3.97,포괄,Y
대변,어떤 사람이나 단체를 대신하여 그의 의견이나 태도를 표함. 또는 그런 일,1,2,3.97,대변,Y
교차,서로 엇갈리거나 마주침,1,2,3.97,교차,Y
시상,시를 짓기 위한 착상이나 구상,1,2,3.97,시상,Y
동정,남의 어려운 처지를 자기 일처럼 딱하고 가엾게 여김,1,2,3.97,동정,Y
서사,개인의 역사나 사건들의 유기적인 연결을 지닌 깊이 있는 이야기,3,2,3.96,서사,Y
거론,어떤 사항을 논제로 삼아 제기하거나 논의함,1,2,3.96,거론,Y
침략,정당한 이유 없이 남의 나라에 쳐들어감,1,2,3.96,침략,Y
견제,일정한 작용을 가함으로써 상대편이 지나치게 세력을 펴거나 자유롭게 행동하지 못하게,1,2,3.96,견제,Y
보완,모자라거나 부족한 것을 보충하여 완전하게 함,1,2,3.96,보완,Y
선동,남을 부추겨 어떤 일이나 행동에 나서도록 함,1,2,3.96,선동,Y
대담,마주 대하고 말함. 또는 그런 말,1,2,3.96,대담,Y
조달,"자금이나 물자 따위를 대어 줌. ‘대어 줌’, ‘마련함’으로 순화",1,2,3.95,조달,Y
추리,알고 있는 것을 바탕으로 알지 못하는 것을 미루어서 생각함,1,2,3.95,추리,Y
중재,분쟁에 끼어들어 쌍방을 화해시킴,1,2,3.95,중재,Y
계승,"조상의 전통이나 문화유산, 업적 따위를 물려받아 이어 나감",1,2,3.95,계승,Y
비참하다,더할 수 없이 슬프고 끔찍하다,1,2,3.95,비참하다,Y
든든하다,믿음직스러워 마음이 굳세고 힘이 되다,1,2,3.95,든든하다,Y
전무,전혀 없음,1,2,3.94,전무,Y
탐색,드러나지 않은 사물이나 현상 따위를 찾아내거나 밝히기 위하여 살피어 찾음,1,2,3.94,탐색,Y
권장,권하여 장려함,1,2,3.94,권장,Y
호기심,새롭고 신기한 것에 끌리는 마음,1,2,3.94,호기심,Y
객체화,주체적인 존재를 스스로 생각하고 움직이지 못하는 하나의 대상으로 취급함,3,2,3.93,객체화,Y
경유,어떤 곳을 거쳐 지남,1,2,3.93,경유,Y
명소,"경치나 고적, 산물 따위로 널리 알려진 곳. ‘이름난 곳’으로 순화",1,2,3.93,명소,Y
수렴,돈이나 물건 등을 거두어들임,3,2,3.92,수렴,Y
표절,"시나 글, 노래 따위를 지을 때에 남의 작품의 일부를 몰래 따다 씀.",1,2,3.92,표절,Y
완결,완전하게 끝을 맺음. ‘끝냄’으로 순화,1,2,3.92,완결,Y
창피하다,체면이 깎이는 일을 당하여 부끄럽다,1,2,3.92,창피하다,Y
두렵다,어떤 대상이 무서워 마음이 불안하다,1,2,3.92,두렵다,Y
다짐,마음이나 뜻을 굳게 가다듬어 정함,1,2,3.92,다짐,Y
병행,둘 이상의 일을 한꺼번에 진행함,3,2,3.91,병행,Y
역학,"물리에서, 물체의 운동에 관한 법칙을 연구하는 학문",3,2,3.91,역학,Y
역설,어떤 주의나 주장에 반대되는 이론이나 말,3,2,3.91,역설,Y
정수,사물의 중심이 되는 골자 또는 요점,1,2,3.91,정수,Y
신탁,믿고 맡김,1,2,3.91,신탁,Y
원천,물이 흘러나오는 근원,1,2,3.91,원천,Y
모범,본받아 배울 만한 대상,1,2,3.91,모범,Y
유동,액체 상태의 물질이나 전류 따위가 흘러 움직임,1,2,3.90,유동,Y
일가,한집에서 사는 가족. 또는 학문·기술·예술 분야에서 독자적인 경지나 체계를 이룬 상태,1,2,3.90,일가,Y
위임,어떤 일을 책임 지워 맡김. 또는 그 책임,1,2,3.90,위임,Y
우위,다른 사람이나 사물보다 뛰어난 위치나 수준,1,2,3.89,우위,Y
사리,일의 이치,1,2,3.89,사리,Y
함양,능력이나 품성 따위를 길러 쌓거나 갖춤.,1,2,3.89,함양,Y
우대,특별히 잘 대우함. 또는 그런 대우.,1,2,3.89,우대,Y
위생,건강에 유익하도록 조건을 갖추거나 깨끗이 하는 일,1,2,3.89,위생,Y
창출,전에 없던 것을 처음으로 생각하여 지어내거나 만들어 냄. ‘새로 만듦’으로 순화,1,2,3.88,창출,Y
추세,어떤 현상이 일정한 방향으로 나아가는 경향,1,2,3.88,추세,Y
연소,"물질이 산소와 화합할 때에, 많은 빛과 열을 내는 현상. 넓은 뜻으로는 열과 빛을 수",1,2,3.88,연소,Y
약화,세력이나 힘이 약해짐. 또는 그렇게 되게 함,1,2,3.88,약화,Y
기성,이미 이루어짐. 또는 그런 것,1,2,3.88,기성,Y
설레다,마음이 가라앉지 아니하고 들떠서 두근거리다,1,2,3.88,설레다,Y
다투다,의견이나 이해가 달라 서로 따지며 싸우다,1,2,3.88,다투다,Y
존엄성,지위나 조건에 관계없이 존재 자체로서 최고로 높고 엄숙한 대접을 받아야 할 성질,3,2,3.87,존엄성,Y
조장,바람직하지 않은 일을 더 심해지도록 부추김,1,2,3.87,조장,Y
합치,의견이나 주장 따위가 서로 맞아 일치함,1,2,3.86,합치,Y
의결,의논하여 결정함. 또는 그런 결정.,1,2,3.86,의결,Y
격차,"빈부, 임금, 기술 수준 따위가 서로 벌어져 다른 정도",1,2,3.86,격차,Y
집필,"붓을 잡는다는 뜻으로, 직접 글을 쓰는 것을 이르는 말",1,2,3.86,집필,Y
호응,"부름에 응답한다는 뜻으로, 부름이나 호소 따위에 대답하거나 응함",1,2,3.86,호응,Y
겸손,남을 존중하고 자기를 내세우지 않는 태도,1,2,3.86,겸손,Y
격려,용기나 의욕이 솟아나도록 북돋워 줌,1,2,3.86,격려,Y
기미,어떤 일을 알아차릴 수 있는 눈치. 또는 일이 되어 가는 야릇한 분위기.,1,2,3.85,기미,Y
특기,남이 가지지 못한 특별한 기술이나 기능,1,2,3.85,특기,Y
자취,어떤 사물이나 사람이 지나간 뒤에 남겨진 흔적,1,2,3.84,자취,Y
함유,물질이 어떤 성분을 포함하고 있음,1,2,3.84,함유,Y
보람,어떤 일을 한 뒤에 돌아오는 좋은 결과나 만족감,1,2,3.84,보람,Y
인과,원인과 결과를 아울러 이르는 말,1,2,3.84,인과,Y
비평,"사물의 옳고 그름, 아름다움과 추함 따위를 분석하여 가치를 논함",1,2,3.84,비평,Y
조롱,비웃거나 깔보면서 놀림,1,2,3.84,조롱,Y
절정,산의 맨 꼭대기. 또는 사물의 진행이나 발전이 최고의 경지에 달한 상태,1,2,3.84,절정,Y
경감,부담이나 고통 따위를 덜어서 가볍게 함,1,2,3.83,경감,Y
부류,동일한 범주에 속하는 대상들을 일정한 기준에 따라 나누어 놓은 갈래,3,2,3.83,부류,Y
