target,뜻,기존레벨,제안레벨,변경,zipf,토큰,판정근거,검토필요
배치,서로 조화되지 않고 반대가 되어 맞지 아니함,3,1,3→1,4.74,배치,zipf 4.74 — 익숙,
범례,책의 첫머리에 그 책의 내용이나 쓰는 방법 따위에 관한 참고 사항을 설명,1,3,1→3,0.00,범례,빈도표에 없음 → 매우 드묾,
변별,사물의 옳고 그름이나 좋고 나쁨을 가림,1,3,1→3,0.00,변별,빈도표에 없음 → 매우 드묾,
병치,두 가지 이상의 것을 한곳에 나란히 두거나 설치함,1,3,1→3,0.00,병치,빈도표에 없음 → 매우 드묾,
보필,윗사람의 일을 도움. 또는 그런 사람.,1,3,1→3,0.00,보필,빈도표에 없음 → 매우 드묾,
본위,(흔히 명사 뒤에 쓰여) 판단이나 행동에서 중심이 되는 기준,1,3,1→3,0.00,본위,빈도표에 없음 → 매우 드묾,
사익,개인의 이익,1,3,1→3,0.00,사익,빈도표에 없음 → 매우 드묾,
사장,"가치 있는 물건, 인재, 아이디어 등이 세상에 빛을 보지 못하고 파묻힘",3,1,3→1,4.87,사장,zipf 4.87 — 익숙,
상념,마음속에 품고 있는 여러 가지 생각,1,3,1→3,0.00,상념,빈도표에 없음 → 매우 드묾,
상통,서로 막힘이 없이 길이 트임,1,3,1→3,0.00,상통,빈도표에 없음 → 매우 드묾,
세태,"사람들의 일상생활, 풍습 따위에서 보이는 세상의 상태나 형편.",1,3,1→3,0.00,세태,빈도표에 없음 → 매우 드묾,
소임,맡은 바 직책이나 임무,1,3,1→3,0.00,소임,빈도표에 없음 → 매우 드묾,
수취,거두어 모음,1,3,1→3,0.00,수취,빈도표에 없음 → 매우 드묾,
습속,오랫동안 굳어져 내려온 생활 방식이나 행동 양식,1,3,1→3,0.00,습속,빈도표에 없음 → 매우 드묾,
시각화,보이지 않는 추상적인 것을 일정한 형태로 나타내어 보이게 함,1,3,1→3,0.00,시각화,빈도표에 없음 → 매우 드묾,
안배,알맞게 잘 배치하거나 처리함,1,3,1→3,0.00,안배,빈도표에 없음 → 매우 드묾,
알짜,여럿 가운데 가장 중요하거나 훌륭한 물건,1,3,1→3,0.00,알짜,빈도표에 없음 → 매우 드묾,
압제,권력이나 폭력으로 남을 꼼짝 못하게 강제로 누름,1,3,1→3,0.00,압제,빈도표에 없음 → 매우 드묾,
액면,말이나 글에 겉으로 드러난 그대로의 내용,1,3,1→3,0.00,액면,빈도표에 없음 → 매우 드묾,
양적,세거나 잴 수 있는 분량이나 수량과 관계된. 또는 그런 것,1,3,1→3,0.00,양적,빈도표에 없음 → 매우 드묾,
언중,같은 언어를 사용하면서 공동생활을 하는 언어 사회 안의 대중.,1,3,1→3,0.00,언중,빈도표에 없음 → 매우 드묾,
영상,머릿속에서 그려지는 사물의 모습이나 광경,3,1,3→1,5.18,영상,zipf 5.18 — 익숙,
영속성,영원히 계속되어 끊어지지 않는 성질,1,3,1→3,0.00,영속성,빈도표에 없음 → 매우 드묾,
영합,사사로운 이익을 위하여 아첨하며 좇음,1,3,1→3,0.00,영합,빈도표에 없음 → 매우 드묾,
용례,쓰고 있는 예. 또는 용법의 보기,1,3,1→3,0.00,용례,빈도표에 없음 → 매우 드묾,
월권,자기 권한 밖의 일에 관여함,1,3,1→3,0.00,월권,빈도표에 없음 → 매우 드묾,
육필,손으로 직접 쓴 글씨,1,3,1→3,0.00,육필,빈도표에 없음 → 매우 드묾,
융성,기운차게 일어나거나 대단히 번성함,1,3,1→3,0.00,융성,빈도표에 없음 → 매우 드묾,
이기심,자기 자신의 이익과 평안만을 생각하고 타인을 배려하지 않는 마음,1,3,1→3,0.00,이기심,빈도표에 없음 → 매우 드묾,
이입,옮기어 들임,1,3,1→3,0.00,이입,빈도표에 없음 → 매우 드묾,
인습,이전부터 전하여 내려오는 습관,1,3,1→3,0.00,인습,빈도표에 없음 → 매우 드묾,
쟁탈,서로 다투어 빼앗음,1,3,1→3,0.00,쟁탈,빈도표에 없음 → 매우 드묾,
점층,글에서 점진적으로 어구를 겹쳐 가면서 문장의 포괄적인 내용과 뜻을 넓혀 ,1,3,1→3,0.00,점층,빈도표에 없음 → 매우 드묾,
접근성,"특정 대상이나 정보, 장소에 쉽게 닿거나 다가갈 수 있는 정도",1,3,1→3,0.00,접근성,빈도표에 없음 → 매우 드묾,
정취,깊은 정서를 자아내는 흥취,1,3,1→3,0.00,정취,빈도표에 없음 → 매우 드묾,
제언,의견이나 생각을 내놓음. 또는 그 의견이나 생각,1,3,1→3,0.00,제언,빈도표에 없음 → 매우 드묾,
제후,봉건 시대에 일정한 영토를 가지고 그 영내의 백성을 지배하는 권력을 가지,1,3,1→3,0.00,제후,빈도표에 없음 → 매우 드묾,
조어,새로 말을 만듦. 또는 그렇게 만든 말,1,3,1→3,0.00,조어,빈도표에 없음 → 매우 드묾,
집정,정권을 잡음,1,3,1→3,0.00,집정,빈도표에 없음 → 매우 드묾,
착상,어떤 일이나 창작의 실마리가 되는 생각이나 구상 따위를 잡음. 또는 그 ,1,3,1→3,0.00,착상,빈도표에 없음 → 매우 드묾,
창안,"어떤 방안, 물건 따위를 처음으로 생각하여 냄. 또는 그런 생각이나 방안",1,3,1→3,0.00,창안,빈도표에 없음 → 매우 드묾,
창제,전에 없던 것을 처음으로 만들거나 제정함,1,3,1→3,0.00,창제,빈도표에 없음 → 매우 드묾,
체납,세금 따위를 기한까지 내지 못하여 밀림.,1,3,1→3,0.00,체납,빈도표에 없음 → 매우 드묾,
체취,몸에서 나는 냄새.,1,3,1→3,0.00,체취,빈도표에 없음 → 매우 드묾,
타성,오래되어 굳어진 좋지 않은 버릇,1,3,1→3,0.00,타성,빈도표에 없음 → 매우 드묾,
표음,문자나 부호로 소리를 나타내는 일,1,3,1→3,0.00,표음,빈도표에 없음 → 매우 드묾,
합일,둘 이상이 합하여 하나가 됨. 또는 그렇게 만듦,1,3,1→3,0.00,합일,빈도표에 없음 → 매우 드묾,
혜안,사물을 꿰뚫어 보는 안목과 식견,1,3,1→3,0.00,혜안,빈도표에 없음 → 매우 드묾,
회한,뉘우치고 한탄함.,1,3,1→3,0.00,회한,빈도표에 없음 → 매우 드묾,
획정,경계 따위를 명확히 구별하여 정함,1,3,1→3,0.00,획정,빈도표에 없음 → 매우 드묾,
흡착,어떤 물질이 달라붙음,1,3,1→3,0.00,흡착,빈도표에 없음 → 매우 드묾,
흥망,잘되어 일어남과 못되어 없어짐,1,3,1→3,0.00,흥망,빈도표에 없음 → 매우 드묾,
가령,가정하여 말하여.,1,2,1→2,3.63,가령,zipf 3.63 — 보통,
가상,실물처럼 보이는 거짓 형상,1,2,1→2,4.43,가상,zipf 4.43 — 보통,
가중,책임이나 부담 따위를 더 무겁게 함,1,2,1→2,3.59,가중,zipf 3.59 — 보통,
가처분,법원이 확정 판결을 내리기 전까지 임시로 내리는 처분.,1,2,1→2,3.07,가처분,zipf 3.07 — 보통,
간과,큰 관심 없이 대강 보아 넘김,1,2,1→2,3.61,간과,zipf 3.61 — 보통,
간섭,직접 관계가 없는 남의 일에 부당하게 참견함,1,2,1→2,4.09,간섭,zipf 4.09 — 보통,
간이,"간단하고 편리함. 물건의 내용, 형식이나 시설 따위를 줄이거나 간편하게 ",1,2,1→2,3.05,간이,zipf 3.05 — 보통,
간주,"상태, 모양, 성질 따위가 그와 같다고 봄. 또는 그렇다고 여김",1,2,1→2,4.21,간주,zipf 4.21 — 보통,
갈등,목표나 이해관계가 달라 서로 적대시하거나 충돌함. 또는 마음속에서 상반된,1,2,1→2,4.44,갈등,zipf 4.44 — 보통,
감격,마음에 깊이 느끼어 크게 감동함. 또는 그 감동,1,2,1→2,3.69,감격,zipf 3.69 — 보통,
감소,수량이나 정도가 줄어듦,2,1,2→1,4.58,감소,zipf 4.58 — 익숙,
감수,책망이나 괴로움 따위를 달갑게 받아들임,1,2,1→2,4.15,감수,zipf 4.15 — 보통,
감지,느끼어 앎,1,2,1→2,4.26,감지,zipf 4.26 — 보통,
감회,지난 일을 돌이켜 볼 때 느껴지는 회포,3,2,3→2,3.07,감회,zipf 3.07 — 보통,
강경론,자기의 의견이나 입장을 절대로 타협하거나 굽히지 말아야 한다고 주장하는 ,2,3,2→3,0.00,강경론,빈도표에 없음 → 매우 드묾,
강구,좋은 대책과 방법을 궁리하여 찾아내거나 좋은 대책을 세움,1,2,1→2,3.65,강구,zipf 3.65 — 보통,
강화,세력이나 힘을 더 강하고 튼튼하게 함,2,1,2→1,4.81,강화,zipf 4.81 — 익숙,
개막,공연이나 경기 따위를 시작함,1,2,1→2,4.11,개막,zipf 4.11 — 보통,
개별,(주로 일부 명사 앞에 쓰여) 여럿 중에서 하나씩 따로 나뉘어 있는 상태,1,2,1→2,4.29,개별,zipf 4.29 — 보통,
개선,"잘못된 것이나 부족한 것, 나쁜 것 따위를 고쳐 더 좋게 만듦",2,1,2→1,4.65,개선,zipf 4.65 — 익숙,
개요,간결하게 추려 낸 주요 내용,1,2,1→2,3.99,개요,zipf 3.99 — 보통,
개입,자신과 직접적인 관계가 없는 일에 끼어듦,1,2,1→2,4.36,개입,zipf 4.36 — 보통,
개조,고쳐 만들거나 바꿈,1,2,1→2,4.05,개조,zipf 4.05 — 보통,
개최,모임이나 행사 따위를 주최하여 엶,2,1,2→1,5.07,개최,zipf 5.07 — 익숙,
개탄,분하거나 못마땅하게 여겨 한탄함. 또는 그 한탄,3,2,3→2,3.01,개탄,zipf 3.01 — 보통,
거론,어떤 사항을 논제로 삼아 제기하거나 논의함,1,2,1→2,3.96,거론,zipf 3.96 — 보통,
걸작,매우 훌륭한 작품,1,2,1→2,3.63,걸작,zipf 3.63 — 보통,
검열,어떤 행위나 사업 따위를 살펴 조사하는 일,1,2,1→2,3.79,검열,zipf 3.79 — 보통,
검토,어떤 사실이나 내용을 분석하여 따짐,1,2,1→2,4.40,검토,zipf 4.40 — 보통,
격려,용기나 의욕이 솟아나도록 북돋워 줌,1,2,1→2,3.86,격려,zipf 3.86 — 보통,
격리,다른 것과 통하지 못하게 사이를 막거나 떼어 놓음,1,2,1→2,4.00,격리,zipf 4.00 — 보통,
격변,상황 따위가 갑자기 심하게 변함.,1,2,1→2,3.14,격변,zipf 3.14 — 보통,
격차,"빈부, 임금, 기술 수준 따위가 서로 벌어져 다른 정도",1,2,1→2,3.86,격차,zipf 3.86 — 보통,
견제,일정한 작용을 가함으로써 상대편이 지나치게 세력을 펴거나 자유롭게 행동하,1,2,1→2,3.96,견제,zipf 3.96 — 보통,
견지,어떤 입장이나 태도를 굳게 이어 나감,3,2,3→2,3.44,견지,zipf 3.44 — 보통,
견해,사물이나 현상에 대한 자기의 의견이나 생각,1,2,1→2,4.17,견해,zipf 4.17 — 보통,
결단,결정적인 판단을 하거나 단정을 내림. 또는 그런 판단이나 단정,1,2,1→2,3.64,결단,zipf 3.64 — 보통,
결부,일정한 사물이나 현상을 서로 연관시킴,1,2,1→2,3.28,결부,zipf 3.28 — 보통,
결속,뜻이나 뜻을 같이하여 마음이나 힘을 하나로 굳게 묶음,1,2,1→2,3.46,결속,zipf 3.46 — 보통,
결심,할 일에 대하여 어떻게 하기로 마음을 굳게 정함,1,2,1→2,4.28,결심,zipf 4.28 — 보통,
결여,마땅히 있어야 할 것이 빠져서 없거나 모자람.,1,2,1→2,3.55,결여,zipf 3.55 — 보통,
결함,부족하거나 완전하지 못한 부분,1,2,1→2,4.08,결함,zipf 4.08 — 보통,
겸손,남을 존중하고 자기를 내세우지 않는 태도,1,2,1→2,3.86,겸손,zipf 3.86 — 보통,
경감,부담이나 고통 따위를 덜어서 가볍게 함,1,2,1→2,3.83,경감,zipf 3.83 — 보통,
경계,사물들이 구분되는 한계,2,1,2→1,4.56,경계,zipf 4.56 — 익숙,
경력,어떤 분야에서 일해 온 경험이나 과정,2,1,2→1,4.60,경력,zipf 4.60 — 익숙,
경륜,일정한 포부를 가지고 일을 조직적으로 계획함. 또는 그 계획이나 포부,1,2,1→2,3.61,경륜,zipf 3.61 — 보통,
경영난,기업을 운영하는 데 겪는 경제적인 어려움,2,3,2→3,0.00,경영난,빈도표에 없음 → 매우 드묾,
경외,대상의 위대함에 압도되어 두려워하면서도 우러러보는 마음,3,2,3→2,3.07,경외,zipf 3.07 — 보통,
경유,어떤 곳을 거쳐 지남,1,2,1→2,3.93,경유,zipf 3.93 — 보통,
경직,몸 따위가 굳어서 뻣뻣하게 됨. ‘굳음’으로 순화,1,2,1→2,3.52,경직,zipf 3.52 — 보통,
경향,"현상이나 사상, 행동 따위가 어떤 방향으로 기울어짐",1,2,1→2,4.45,경향,zipf 4.45 — 보통,
경향성,어떤 방향으로 쏠리거나 치우쳐 흘러가려는 특성,2,3,2→3,0.00,경향성,빈도표에 없음 → 매우 드묾,
계량,수량을 헤아림,1,2,1→2,3.35,계량,zipf 3.35 — 보통,
계몽,이성의 빛을 통해 사람들의 어리석음과 편견을 깨우쳐 밝혀 줌,3,2,3→2,3.37,계몽,zipf 3.37 — 보통,
계보,조상 때부터 내려오는 혈통과 집안의 역사를 적은 책,1,2,1→2,3.32,계보,zipf 3.32 — 보통,
계승,"조상의 전통이나 문화유산, 업적 따위를 물려받아 이어 나감",1,2,1→2,3.95,계승,zipf 3.95 — 보통,
계열,서로 관련이 있거나 유사한 점이 있어서 한 갈래로 이어지는 계통이나 조직,1,2,1→2,4.41,계열,zipf 4.41 — 보통,
고갈,자원이나 물자 따위가 다하여 없어짐,1,2,1→2,3.50,고갈,zipf 3.50 — 보통,
고뇌,괴로워하고 번뇌함,1,2,1→2,3.46,고뇌,zipf 3.46 — 보통,
고립,다른 사람이나 사회와 관계를 끊고 홀로 남겨진 상태,1,2,1→2,3.97,고립,zipf 3.97 — 보통,
고수,차지한 물건이나 형세 따위를 굳게 지킴.,1,2,1→2,4.12,고수,zipf 4.12 — 보통,
고심,몹시 애를 태우며 마음을 씀. ‘애씀’으로 순화,1,2,1→2,3.44,고심,zipf 3.44 — 보통,
고안,연구하여 새로운 안을 생각해 냄. 또는 그 안.,1,2,1→2,3.83,고안,zipf 3.83 — 보통,
고유,본래부터 가지고 있는 특유한 것,1,2,1→2,4.33,고유,zipf 4.33 — 보통,
고증,"예전에 있던 사물들의 시대, 가치, 내용 따위를 옛 문헌이나 물건에 기초",1,2,1→2,3.40,고증,zipf 3.40 — 보통,
고찰,깊이 생각하고 면밀히 연구함,3,2,3→2,3.70,고찰,zipf 3.70 — 보통,
고취,"힘이나 의지, 감정 등을 돋우고 부추겨 일으킴",3,2,3→2,3.42,고취,zipf 3.42 — 보통,
공론,여럿이 의논함. 또는 그런 의논.,1,2,1→2,3.74,공론,zipf 3.74 — 보통,
공명,남의 사상이나 감정에 깊이 동감하여 마음에 울림을 일으킴,3,2,3→2,3.65,공명,zipf 3.65 — 보통,
공식,국가나 공공 기관에서 인정하거나 내세우는 것,2,1,2→1,5.16,공식,zipf 5.16 — 익숙,
공익,사회 전체의 이익,1,2,1→2,4.00,공익,zipf 4.00 — 보통,
공통점,여럿 사이에 두루 통하는 점,1,2,1→2,4.00,공통점,zipf 4.00 — 보통,
공해,산업이나 교통의 발달에 따라 사람이나 생물이 입게 되는 여러 가지 피해.,1,2,1→2,3.49,공해,zipf 3.49 — 보통,
공헌,힘을 써 이바지함,1,2,1→2,4.22,공헌,zipf 4.22 — 보통,
과시,자랑하여 보임,1,2,1→2,3.74,과시,zipf 3.74 — 보통,
관건,어떤 일의 성패를 좌우하는 가장 중요한 부분,1,2,1→2,3.18,관건,zipf 3.18 — 보통,
관계,둘 이상의 사람이나 사물 등이 서로 관련을 맺음.,2,1,2→1,5.40,관계,zipf 5.40 — 익숙,
관념,어떤 일에 대한 견해나 생각,1,2,1→2,4.01,관념,zipf 4.01 — 보통,
관습,어떤 사회에서 오랫동안 지켜 내려와 그 사회 성원들이 널리 인정하는 질서,1,2,1→2,3.76,관습,zipf 3.76 — 보통,
관점,"사물이나 현상을 관찰할 때, 그 사람이 보고 생각하는 태도나 방향 또는 ",1,2,1→2,4.45,관점,zipf 4.45 — 보통,
관조,들끓는 욕망이나 주관적 감정을 걷어내고 고요한 마음으로 세상을 응시함,3,2,3→2,3.02,관조,zipf 3.02 — 보통,
관측,"육안이나 기계로 자연 현상, 특히 천체나 기상의 상태와 변화 따위를 관찰",1,2,1→2,4.22,관측,zipf 4.22 — 보통,
괴리,서로 조화를 이루지 못하고 어긋나 틈이 벌어지고 동떨어짐,3,2,3→2,3.25,괴리,zipf 3.25 — 보통,
교란,"마음이나 상황 따위를 뒤흔들어서 어지럽고 혼란하게 함. ‘어지럽힘’, ‘",1,2,1→2,3.69,교란,zipf 3.69 — 보통,
교섭,어떤 일을 이루기 위하여 서로 의논하고 절충함,1,2,1→2,3.80,교섭,zipf 3.80 — 보통,
교차,서로 엇갈리거나 마주침,1,2,1→2,3.97,교차,zipf 3.97 — 보통,
구명,"사물의 본질, 원인 따위를 깊이 연구하여 밝힘",1,2,1→2,3.26,구명,zipf 3.26 — 보통,
구비,있어야 할 것을 빠짐없이 다 갖춤.,1,2,1→2,3.69,구비,zipf 3.69 — 보통,
구사,"말이나 수사법, 기교 따위를 능숙하게 마음대로 부려 씀.",1,2,1→2,4.18,구사,zipf 4.18 — 보통,
구실,자기가 마땅히 해야 할 맡은 바 책임,1,2,1→2,3.79,구실,zipf 3.79 — 보통,
구현,어떤 내용이 구체적인 사실로 나타나게 함,1,2,1→2,4.36,구현,zipf 4.36 — 보통,
국면,어떤 일이 벌어진 장면이나 형편,1,2,1→2,3.48,국면,zipf 3.48 — 보통,
국한,범위나 한계를 일정한 부분에 한정함,3,2,3→2,3.61,국한,zipf 3.61 — 보통,
굴복,힘이 모자라서 복종함,1,2,1→2,3.76,굴복,zipf 3.76 — 보통,
권장,권하여 장려함,1,2,1→2,3.94,권장,zipf 3.94 — 보통,
궤도,수레가 지나간 바큇자국이 난 길.,1,2,1→2,4.13,궤도,zipf 4.13 — 보통,
귀결,논의나 행동이 어떤 결론에 이름,3,2,3→2,3.16,귀결,zipf 3.16 — 보통,
귀속,"재산, 권리, 혹은 소속감 등이 마땅히 특정 존재나 주체에게 딸려 속함",3,2,3→2,3.66,귀속,zipf 3.66 — 보통,
규명,자세히 따져 사실을 밝힘,3,2,3→2,4.17,규명,zipf 4.17 — 보통,
근대,얼마 지나가지 않은 가까운 시대,1,2,1→2,4.33,근대,zipf 4.33 — 보통,
근무,직장에 나가 일을 함,2,1,2→1,4.80,근무,zipf 4.80 — 익숙,
근일점,행성이나 혜성이 태양을 도는 궤도상에서 태양과 가장 가까워지는 지점.,2,3,2→3,0.00,근일점,빈도표에 없음 → 매우 드묾,
급등,물가나 시세 따위가 갑자기 오름,1,2,1→2,3.15,급등,zipf 3.15 — 보통,
기만,진실을 교묘히 왜곡하여 타인이나 자기 자신을 속이고 홀림,3,2,3→2,3.69,기만,zipf 3.69 — 보통,
기미,어떤 일을 알아차릴 수 있는 눈치. 또는 일이 되어 가는 야릇한 분위기.,1,2,1→2,3.85,기미,zipf 3.85 — 보통,
기법,기교와 방법을 아울러 이르는 말,1,2,1→2,4.32,기법,zipf 4.32 — 보통,
기성,이미 이루어짐. 또는 그런 것,1,2,1→2,3.88,기성,zipf 3.88 — 보통,
기원,사물이 처음으로 생김. 또는 그런 근원,2,1,2→1,4.56,기원,zipf 4.56 — 익숙,
기조,바탕에 흐르는 기본적인 방향이나 성격,3,2,3→2,3.52,기조,zipf 3.52 — 보통,
기존,이미 존재함,2,1,2→1,4.91,기존,zipf 4.91 — 익숙,
기초,사물의 바탕이나 토대가 되는 것,2,1,2→1,4.73,기초,zipf 4.73 — 익숙,
기탁,어떤 일을 부탁하여 맡겨 둠,1,2,1→2,3.04,기탁,zipf 3.04 — 보통,
기피,꺼리거나 싫어하여 피함,1,2,1→2,3.69,기피,zipf 3.69 — 보통,
긴밀히,서로의 관계가 매우 가까워 빈틈이 없이,2,3,2→3,0.00,긴밀히,빈도표에 없음 → 매우 드묾,
꾸준히,한결같이 부지런하고 끈기 있게,1,2,1→2,4.30,꾸준히,zipf 4.30 — 보통,
끈기,쉽게 단념하지 아니하고 끈질기게 견디어 나가는 기운,1,2,1→2,3.33,끈기,zipf 3.33 — 보통,
낙관,인생이나 사물을 밝고 희망적인 것으로 봄,1,2,1→2,3.39,낙관,zipf 3.39 — 보통,
낙후,"기술이나 문화, 생활 따위의 수준이 일정한 기준에 미치지 못하고 뒤떨어짐",1,2,1→2,3.14,낙후,zipf 3.14 — 보통,
난관,일을 하여 나가면서 부딪치는 어려운 고비,1,2,1→2,3.50,난관,zipf 3.50 — 보통,
