"target","level","meaning","sentence","제안태그"
"영속성","1","영원히 계속되어 끊어지지 않는 성질","세상의 모든 아름답고 찬란한 것들은 찰나처럼 지나가 버리지만, 예술은 그 찰나의 순간을 포착하여 인류에게 고요한 ____을 선물한다.","학술_논리"
"요인","1","사물이나 사건 등이 성립되는 중요한 원인","우울이라는 감정은 단 하나의 사건 때문이 아니라, 오랫동안 누적된 관계의 피로와 자존감의 하락 등 복합적 ____이 결합된 결과다.","학술_논리"
"우울","1","마음이 답답하고 활력을 잃어 깊이 침잠하여 슬픈 상태","끝도 없이 밀려오는 마음의 캄캄한 ____은 피하고 싶은 질병이지만 가끔은 내면을 가장 깊이 응시하게 한다.","감정_심리"
"우위","1","다른 사람이나 사물보다 뛰어난 위치나 수준","타인과의 비교를 통해 도덕적 ____를 선점하려는 태도는 결국 자기 자신의 열등감을 감추기 위한 방어기제일 뿐이다.","격식_비즈니스"
"유대","1","끈끈하게 결속되어 서로 밀접하게 연결되어 있음","가장 어두운 고독 속에서도 보이지 않는 마음의 끈으로 서로 연결되어 있다는 단단한 ____는 절망을 버텨내게 하는 가장 큰 힘이다.","사회_기본,감정_심리"
"유연성","1","상황에 맞게 융통성 있게 대처하는 부드러운 성질","나의 신념이 틀릴 수도 있다는 것을 기꺼이 인정하는 사고의 ____이 없다면, 우리는 영원히 자기만의 세계에 고립된다.","감정_심리"
"의지","1","어떤 일이나 목표를 뜻한 대로 실현하려는 단단하고 주체적인 마음","가혹한 시련이 모래바람처럼 휘몰아쳐 우리를 넘어뜨릴지라도, 다시 일어서서 한 걸음 내딛는 단단한 ____는 인간의 위대함을 증명한다.","감정_심리"
"이기심","1","자기 자신의 이익과 평안만을 생각하고 타인을 배려하지 않는 마음","눈앞의 이익을 탐하여 타인의 슬픔을 모른 척하는 옹졸한 ____은 결국 공동체의 기틀을 갉아먹는다.","감정_심리"
"인프라","1","생산이나 생활, 혹은 어떤 현상의 기반을 형성하는 중요한 토대","한 사회의 성숙도를 결정하는 것은 화려한 랜드마크가 아니라, 사회적 약자를 보호하는 보이지 않는 복지 ____의 촘촘함이다.","격식_비즈니스,사회_기본"
"일관성","1","방법이나 태도가 처음부터 끝까지 변함없이 같은 성질","흔들리는 세상 속에서도 스스로 정한 가치관을 지켜나가는 ____은 삶에 단단한 중심축을 만들어 준다.","학술_논리"
"자취","1","어떤 사물이나 사람이 지나간 뒤에 남겨진 흔적","비록 우리의 삶은 찰나처럼 지나갈지라도 우리가 남긴 다정한 위로의 ____는 온기로 영원히 머문다.","학술_논리"
"잠재적","1","겉으로 드러나지 않고 속에 숨어 있는 것","아직 발현되지 않은 내 안의 ____인 열정을 믿고 기다려주는 인내심이야말로 나 자신에게 줄 수 있는 최고의 선물이다.","학술_논리"
"접근성","1","특정 대상이나 정보, 장소에 쉽게 닿거나 다가갈 수 있는 정도","어려운 철학적 사유를 대중의 언어로 풀어내어 지식의 ____을 높이는 것은 지식인이 마땅히 가져야 할 책임이다.","격식_비즈니스,사회_기본"
"지연","1","일이나 시간이 예정보다 늦어짐","당장의 불안을 피하려 중요한 결정을 ____시키는 것은, 이자가 붙어 더 무거워진 눈덩이를 미래의 나에게 던지는 것과 같다.","격식_비즈니스"
"지연","1","태어났거나 사는 지역에 의해 맺어지는 인간관계","혈연이나 ____이라는 좁고 낡은 울타리를 넘어, 오직 영혼의 결이 맞는 사람들과 연대할 때 진정한 자유가 시작된다.","사회_기본"
"직관적","1","복잡한 사고나 추리를 거치지 않고 본질을 직접적으로 파악하는 것","복잡한 분석을 거치지 않아도 진실을 꿰뚫어 보는 ____인 감각은 때로 이성보다 더 정확한 이정표가 된다.","학술_논리"
"진부","1","사상, 표현, 행동 등이 새롭지 못하고 낡음","사랑이라는 말은 오랜 세월을 거치며 닳고 닳아 ____하게 느껴지지만, 그 감정을 느끼는 두 사람의 계절은 매 순간 우주에서 유일하다.","학술_논리"
"통합","1","여러 개의 기구나 조직, 생각 등을 하나로 합침","내 안의 빛나는 장점과 감추고 싶은 어둠을 온전히 ____하여 받아들일 때, 우리는 분열을 멈추고 온전해진다.","격식_비즈니스,사회_기본"
"파편화","1","전체적인 조화를 잃고 미세한 조각들로 어수선하게 나누어지는 현상","소셜 미디어가 건네는 극도로 단편적인 정보들에 중독될 때, 우리의 사고 능력은 서서히 깊이를 잃고 ____되어 버린다.","학술_논리,사회_기본"
"표본","1","본보기로 삼을 만한 대표적인 것","완벽하게 다듬어진 성공 스토리보다, 상처를 안고도 묵묵히 내일을 살아내는 평범한 이들의 삶이 더 위대한 희망의 ____이다.","학술_논리"
"핵심적","1","사물의 본질이나 가장 중심이 되는 것","관계의 갈등을 해결하는 가장 ____인 열쇠는 누가 옳은가를 따지는 것이 아니라, 서로의 다름을 어디까지 용인할 수 있는지 확인하는 것이다.","학술_논리"
"현상","1","겉으로 나타나는 직접적이고 감각적인 사실이나 모습","끊임없이 변화하는 거품 같은 ____들에 일희일비하지 않고, 그 이면의 거대한 파도를 읽어내는 심오한 안목이 필요하다.","학술_논리"
"가시화","2","현상이 실제로 일어남 또는 눈에 보이게 됨","오랜 시간 가슴속에만 머물던 동경이 구체적인 행동을 통해 현실로 ____될 때의 전율은 무엇보다 강렬하다.","격식_비즈니스,학술_논리"
"가식","2","외면을 그럴듯하게 꾸민 거짓된 태도나 행동","사회적 지위나 평판을 지키기 위해 두른 ____의 가면을 벗겨낼 때, 비로소 상처 입은 날것의 자아를 마주하게 된다.","감정_심리"
"각인","2","머릿속이나 마음에 깊이 새겨져 지워지지 않음","어린 시절 가만히 응시했던 푸른 바다의 기억은 영혼에 선명하게 ____되어 평생을 지탱하는 치유의 근원이 된다.","감정_심리,학술_논리"
"결집","2","흩어져 있던 힘이나 뜻을 한데 모음","절망의 끝에 마주한 작은 연대의 불씨들이 마침내 하나의 큰 희망으로 ____될 때 역사는 움직인다.","사회_기본"
"경향성","2","어떤 방향으로 쏠리거나 치우쳐 흘러가려는 특성","상처를 받으면 스스로를 방어하기 위해 타인의 진심을 밀어내려는 무의식적 ____을 우리는 깨달아야 한다.","학술_논리"
"계통","2","일정한 원리에 의해 서로 연결되어 있는 짜임이나 조직","복잡하게 뒤얽힌 사유들의 흐름을 차분히 정리하여 하나의 명료한 ____으로 세워두는 것이 철학의 기초다.","학술_논리"
"고독","2","세상에 홀로 떨어져 있는 듯한 외롭고 쓸쓸한 마음의 상태","어두운 밤을 지새우는 쓸쓸한 ____은 피하고 싶은 고통이지만, 아이러니하게도 그 시간 동안 내면의 깊은 창조성이 영글어간다.","감정_심리"
"고정관념","2","마음속에 깊이 박혀 잘 변하지 않는 굳어버린 생각","세상이 주입한 ____의 안경을 벗어던지고 타인을 마주할 때 비로소 그의 생생한 고유성이 보이기 시작한다.","감정_심리,사회_기본"
"공감대","2","서로의 생각이나 감정에 깊이 공감하고 공유하는 영역","서로 다른 역사와 아픔을 지닌 두 영혼이 말 없는 눈빛만으로 깊은 ____를 형성할 때 슬픔은 가라앉는다.","감정_심리,사회_기본"
"과도기","2","새로운 상태로 옮아가는 도중의 시기","지금의 혼란은 더 단단한 자아로 나아가기 위한 ____일 뿐, 우리는 모두 각자의 속도로 영글어가는 중이다.","학술_논리,사회_기본"
"관성","2","해 오던 방식을 바꾸지 않고 그대로 이어 나가려는 태도나 성질","어제의 고통과 미움을 ____처럼 매일 되풀이하여 품기보다 오늘이라는 찬란한 시작을 흔쾌히 껴안아라.","학술_논리"
"관용","2","타인의 잘못이나 나와 다른 점을 너그럽게 받아들이고 용서함","나와 다른 가치관을 배척하지 않고 부드럽게 감싸 안아주는 지혜로운 ____이 성숙한 공동체의 밑거름이다.","감정_심리,사회_기본"
"극복","2","앞길을 가로막는 시련이나 어려움을 단단한 의지로 이겨 냄","내면을 할퀴고 간 뼈아픈 실연의 아픔을 묵묵히 ____해가는 과정에서, 우리는 이전보다 한층 너른 가슴을 지닌 사람이 된다.","감정_심리"
"기호","2","어떠한 뜻을 나타내기 위해 사용하는 문자, 마크, 신호","우리가 내뱉는 모든 어휘와 침묵은 저마다 영혼의 상태를 간접적으로 보여주는 투명한 ____와 같다.","학술_논리"
"내면화","2","사회적 가치, 도덕적 규범, 타인의 기대 등을 받아들여 자기 것으로 만듦","훌륭한 사상과 철학을 머리로만 이해하는 데 그치지 않고, 삶의 태도와 습관으로 깊이 ____시키는 성찰이 필요하다.","감정_심리,학술_논리"
"다원성","2","사물이나 현상이 여러 가지 다양한 근원이나 형태를 지니고 있는 성질","하나의 정답만을 강요하는 획일적 세계보다, 저마다의 고유한 색채와 목소리가 공존하는 ____이 보장될 때 사회는 비로소 풍요로워진다.","학술_논리,사회_기본"
"도태","2","여럿 중에서 쓸모없거나 부적당한 것을 줄이거나 가려내어 없앰","급변하는 시대의 속도에 적응하지 못하고 ____될지 모른다는 불안감은, 우리를 끊임없이 달리게 만드는 차가운 채찍이 된다.","학술_논리"
"동질성","2","성질이나 본질이 서로 같아 통하는 상태","비슷한 아픔과 슬픔을 지닌 타인을 마주할 때 느끼는 깊은 ____은 영혼의 얼어붙은 얼음을 사르르 녹인다.","학술_논리"
"망각","2","한 번 기억하거나 경험했던 것을 시간이 지남에 따라 뇌 속에서 잃어버려 잊음","시간이라는 무자비하고도 자비로운 모래바람은, 아팠던 모든 눈물과 기억마저 ____의 깊은 골짜기로 쓸어가 버린다.","감정_심리,학술_논리"
"물화","2","인간의 주체적 활동이나 관계가 물질적인 객체나 상품처럼 여겨지는 현상","인간 사이의 따뜻한 정서적 교감마저 경제적 이해관계와 거래로 치환되는 ____의 시대 속에서 우리는 인간다움을 잃지 않으려 발버둥 친다.","학술_논리"
"민감성","2","자극이나 변화를 아주 작고 세밀한 부분까지 기민하게 느끼는 성질","타인의 소리 없는 눈물과 작은 신음에도 귀를 기울일 줄 아는 다정한 ____이 진정한 품격을 만든다.","감정_심리"
"변인","2","성질이나 모습이 달라지는 원인이나 조건","인간관계가 어긋나는 과정에는 누구 하나의 잘못이라기보다, 통제할 수 없는 수많은 ____들이 복잡하게 얽혀 있다.","학술_논리"
"보수성","2","새로운 변화를 꺼리고 기존의 가치나 질서를 그대로 유지하려는 성향","과거의 성공 방식에만 매달려 익숙한 것만 고집하는 완고한 ____은 자아의 성장을 캄캄하게 멈춘다.","사회_기본,학술_논리"
"복잡성","2","일, 감정 등이 정리하기가 어려울 만큼 여러 가지가 얽혀 있는 성질","한 사람의 내면이 가진 ____을 온전히 이해하려는 노력 없이, 단편적인 모습만으로 상대를 재단해서는 안 된다.","학술_논리"
"부조화","2","서로 조화를 이루지 못하고 어색하게 어긋남","겉으로 짓는 그럴듯한 미소와 가슴속의 깊은 피로 사이의 ____는 우리 마음을 모래성처럼 허물어뜨린다.","학술_논리"
"분열","2","조화롭던 전체가 낱낱의 조각으로 찢어지고 흩어짐","불안과 공포가 가슴을 잠식할 때 우리의 마음은 사소한 바람에도 쉽게 갈가리 ____되어 흔들리게 된다.","사회_기본,감정_심리"
"상관관계","2","한쪽이 변하면 다른 한쪽도 따라서 변하는 관계","우리의 행복은 소유의 크기보다는 일상에서 느끼는 작은 감사함의 빈도와 훨씬 더 깊은 ____를 가진다.","학술_논리"
"상호성","2","나와 너, 혹은 대상들이 고립되지 않고 서로 긴밀히 영향을 주고받는 성질","성숙한 사랑은 일방적인 지배나 종속이 아니라, 서로의 깊은 눈빛과 떨림을 동등하게 주고받는 ____ 위에서 비로소 피어난다.","학술_논리,사회_기본"
"생동성","2","살아 움직이는 듯한 신선하고 활기찬 기운","안정만을 좇던 좁은 일상에서 벗어나 새로운 지평을 마주할 때 비로소 온몸으로 찬란한 ____을 느낀다.","감정_심리"
"속박","2","몸이나 마음, 혹은 자유를 마음대로 행동할 수 없도록 강하게 얽매어 둠","안락한 울타리가 주는 일시적인 평온에 안주하는 한, 우리는 과거가 씌운 낡은 가치관의 ____에서 한 발짝도 벗어날 수 없다.","감정_심리,사회_기본"
"수동성","2","스스로 결정하여 결단하지 못하고 남의 힘과 상황에 이끌려 행동하는 성질","상황의 횡포에 짓눌려 스스로 아무것도 선택하지 않으려는 비겁한 ____은 자아를 영원히 미궁에 가둔다.","감정_심리,학술_논리"
"수용성","2","어떠한 것을 있는 그대로 받아들이는 성질이나 능력","나와 다른 가치관을 배척하지 않고 부드럽게 품어낼 수 있는 마음의 ____이야말로 진정한 지성의 척도이다.","감정_심리"
"숭배","2","대상의 높은 가치나 신성함을 우러러 마지않으며 지극히 공경함","돈과 명예를 삶의 유일한 구원이라 믿고 매일 땀 흘려 ____하는 한 우리는 평생을 불안에 떨게 될 뿐이다.","사회_기본,감정_심리"
"시사점","2","어떤 것에 대해 미리 알아차릴 수 있도록 간접적으로 나타내거나 일러 주는 내용","과거의 뼈아픈 실패가 남긴 ____을 외면하지 않을 때, 우리는 같은 실수를 반복하는 굴레에서 벗어날 수 있다.","격식_비즈니스,학술_논리"
"실효성","2","실제로 목적한 효과를 나타내는 성질","머릿속으로 아무리 완벽한 계획을 세워도, 지금 당장 작은 행동으로 옮기지 않는다면 그 고민은 어떤 ____도 갖지 못한다.","격식_비즈니스,학술_논리"
"안일","2","편안함만을 추구하여 당면한 문제에 긴장 없이 흐리멍덩하게 대처함","현실의 모순을 애써 무시한 채 얻는 ____의 평온은 영혼을 서서히 갉아먹는 달콤한 마약이다.","감정_심리"
"억압","2","힘이나 권력으로 상대방을 억누르고 자유를 빼앗음","자유를 향한 갈망을 총칼과 규율로 무자비하게 ____할수록 연대의 의지는 불길처럼 더 거세게 솟구친다.","사회_기본,감정_심리"
"역학","2","사물이나 현상 사이에서 작용하는 힘의 관계","사랑이라는 감정의 이면에는, 더 많이 사랑하는 자와 덜 사랑하는 자 사이의 미묘한 권력 ____이 숨어 있다.","학술_논리,사회_기본"
"우상화","2","특별하지 않은 대상을 신비하고 절대적인 존재로 격상시켜 숭배함","돈과 성공을 인생의 유일한 종착지로 여겨 ____하는 태도는 결국 인간의 진짜 위엄을 말살할 뿐이다.","사회_기본"
"원론적","2","어떤 것의 본질이나 바탕이 되는 것","복잡하게 얽힌 딜레마에 빠졌을 때는 현상의 곁가지들을 쳐내고 가장 ____인 질문으로 다시 돌아가야 한다.","학술_논리"
"유의미","2","가치나 의미가 있음","누군가에게 무심코 건넨 다정한 눈빛 한 번이, 때로는 수백 마디의 위로보다 더 ____한 파장을 일으킨다.","학술_논리"
"유희","2","목적을 달성하려는 긴장이나 압박에서 벗어나 즐겁고 자유롭게 노는 지적/예술적 행위","성공에 눈이 멀어 숨 가쁘게 뛰어가는 경주마의 삶을 멈추고, 삶을 한바탕 아름다운 예술적 ____로 채워나갈 때 진정한 기쁨을 느낀다.","문화_예술"
"융합","2","다른 종류의 것이 녹아서 서로 구별이 없게 하나로 합해짐","나의 경험과 타인의 지혜가 아름답게 ____될 때, 우리는 비로소 세상을 바라보는 새로운 통찰을 얻게 된다.","학술_논리"
"이성","2","감정에 휘둘리지 않고 사리를 올바르게 분별하여 생각하고 논리적으로 추론하는 힘","들끓는 욕망과 복수심 앞에서 차가운 ____의 등불을 밝혀 쥐는 일이야말로, 야만의 시대에 인간을 구원하는 유일한 방책이다.","학술_논리"
"이탈","2","정해진 가치, 궤도, 관계 혹은 집단의 굴레로부터 빠져 벗어남","사회가 정해놓은 평탄한 탄탄대로에서 벗어나 조용한 ____을 감행할 때, 우리는 비로소 울창한 비밀의 숲을 발견하게 된다.","사회_기본"
"인과관계","2","원인과 결과가 서로 유기적으로 물려 작용하는 관계","우리의 소소한 선의가 타인의 운명을 어떻게 아름답게 바꾸는지 그 보이지 않는 ____는 신비롭다.","학술_논리"
"인위","2","자연 그대로가 아닌 사람의 힘으로 억지로 꾸며 행함","자연스럽게 흐르는 마음의 파도를 억지로 막으려는 ____적인 노력은 결국 더 큰 분열을 낳는다.","학술_논리"
"일시성","2","영원하지 못하고 아주 잠깐 동안만 머물다 사라지는 성질","꽃이 화려하게 피었다 속절없이 지는 ____은 오늘 우리의 평범한 대화마저 눈부신 기적으로 만든다.","학술_논리"
"일탈","2","사회적 규범이나 정해진 궤도에서 벗어남","규격화된 일상을 깨부수는 조용한 ____은 우리의 영혼에 예상치 못한 창조의 비를 뿌려주곤 한다.","사회_기본"
"입체적","2","한쪽 면만이 아닌 여러 방면과 깊이를 지닌 것","한 사람의 인생이 지닌 복잡함을 ____인 시선으로 살필 때 비로소 오해의 서늘함은 따뜻한 공감으로 바뀐다.","학술_논리"
"자비","2","타인의 허물을 깊이 감싸안고 그의 아픔을 안타깝게 여겨 널리 사랑을 베풂","단죄의 칼을 휘두르기보다, 상처받은 마음의 밑바닥을 가만히 보듬는 따스한 ____의 손길이야말로 세상을 부드럽게 고친다.","감정_심리"
"자율성","2","남의 지배나 구속을 받지 아니하고 스스로의 원칙에 따라 통제하고 다스리는 성질","진정한 도덕적 행동은 외부의 강요나 처벌에 대한 두려움 때문이 아니라, 스스로 정한 내면의 법칙에 따르는 ____에서 비롯된다.","학술_논리,사회_기본"
"자족","2","스스로 넉넉함을 느껴 마음의 안정을 얻음","남들과 끊임없이 비교하며 목말라하기보다 오늘 나에게 허락된 작은 찻잔에 ____하는 삶이 아름답다.","감정_심리"
"저항성","2","외부의 압력이나 순응의 요구에 맞서 버텨내는 성질","획일화된 세상의 기준에 맹목적으로 물들지 않고 나다움을 굳건히 지키는 ____이 우리를 구원한다.","학술_논리,사회_기본"
"점진적","2","조급하게 서두르지 않고 차례를 따라 조금씩 나아가는 것","내면의 상처를 치유하는 과정은 일순간에 일어나지 않으며 고요하고 ____인 성찰 속에서 영글어간다.","학술_논리"
"조율","2","서로 다른 입장이나 생각들을 알맞게 맞추어 조화롭게 만듦","갈등으로 거칠어진 마음의 현들을 고요히 마주하며 서로의 오차를 ____해 나가는 것이 진정한 대화다.","격식_비즈니스,사회_기본"
"존경","2","타인의 숭고한 인격이나 성취를 우러러보고 소중히 대함","화려한 명예에 아부하기보다 묵묵히 자신의 양심을 지켜가는 평범한 사람에게 깊은 ____을 보낸다.","감정_심리"
"존립","2","스스로 서서 유지되거나 생존해 나감","한 사회의 성숙한 ____은 그 공동체의 가장 약하고 연약한 자들을 대하는 예의와 관용의 촘촘함으로 증명되기 마련이다.","격식_비즈니스"
"주관","2","자기만의 고유한 관점이나 주관적인 생각 혹은 판단","남들의 평판이나 거대한 군중의 웅성거림에 휘둘리지 않고, 나만의 꿋꿋한 ____을 세워 나가는 용기가 필요한 때다.","학술_논리"
"주체성","2","어떤 일을 하는 데 스스로의 의지에 따라 처리하는 성질","타인의 시선과 사회적 기준에 흔들리지 않고, 고독 속에서도 스스로 생각하고 결정하는 고고한 ____을 지켜내야 한다.","학술_논리"
"지성","2","사물의 옳고 그름과 본질을 꿰뚫어 보고 윤리적으로 바른 판단을 내리는 지적 능력","차가운 비판의 메스를 휘두르기보다, 타인의 상처에 슬며시 동참할 줄 아는 다정한 ____이야말로 인간미의 극치다.","학술_논리"
"지식인","2","높은 지식을 지니고 사회의 모순을 비판하며 실천하는 지성인","차가운 논리의 메스만 휘두르는 똑똑함보다 시대의 상처에 슬그머니 울어주는 진짜 ____이 필요하다.","사회_기본,학술_논리"
"지양","2","더 높은 단계로 나아가기 위하여 어떤 행동이나 태도를 하지 않음","타인의 불행을 보며 나의 행복을 안심하는 부끄러운 비교를 ____할 때, 비로소 우리는 타인의 삶을 있는 그대로 안아줄 수 있다.","학술_논리"
"지엽적","2","본질적이지 않고 곁가지에 불과한 사소하고 부차적인 것","인생의 큰 기조를 잃은 채 눈앞의 ____인 시비에만 얽매여 살아가는 것은 서글픈 낭비다.","학술_논리"
"진정성","2","위선이나 꾸밈이 전혀 없이 참되고 정직하여 믿을 만한 깊은 성품","화려한 수식어로 치장된 달콤한 연설보다, 서툴더라도 떨리는 목소리에 실려 있는 마음의 ____이 더 깊은 감동을 준다.","감정_심리"
"차별화","2","둘 사이를 구별 지어 서로 다른 독특한 성질을 드러냄","남들과 비슷해지려 애쓰기보다 나만의 고유한 무늬를 선명하게 드러내는 ____의 지혜가 빛을 발한다.","격식_비즈니스"
"찬사","2","숭고한 인물이나 업적에 대해 아낌없이 보내는 지극한 칭찬의 말","세상이 건네는 화려한 ____에 마음을 빼앗기지 마라. 진짜 안식은 나 자신과의 고요한 대화에 있다.","감정_심리"
"체계화","2","일정한 원리에 따라 낱낱의 부분이 잘 짜여져 통일된 전체로 됨","무질서하게 흩어져 있던 감정과 생각의 파편들을 글로 적어 ____하고 나면, 삶의 방향이 한결 선명해진다.","학술_논리"
"체념","2","뜻대로 되지 않는 상황을 순순히 받아들이고 바람이나 기대를 내려놓음","더는 집착하지 않고 흐르는 세월에 마음을 기댄 채 맞이하는 조용한 ____은, 역설적으로 깊은 내면의 평안을 선물한다.","감정_심리"
"초래","2","어떤 결과를 가져오게 함","자신을 보호하기 위해 쌓아올린 마음의 벽이 결과적으로는 스스로를 더 깊은 외로움으로 ____하는 비극을 낳는다.","학술_논리"
"추상화","2","생생한 개별 사실들로부터 일반적이고 관념적인 개념을 뽑아내어 표현함","타인의 생생한 고통을 냉정한 활자로 ____해버리는 순간, 눈물에 담긴 뜨거운 맥박과 떨림은 차갑게 얼어붙고 만다.","학술_논리"
"추이","2","시간이 지나면서 일이나 상황이 변해가는 모습","상황이 당장 뜻대로 풀리지 않더라도 조급해하지 않고 시간의 ____를 지켜보는 여유가 필요하다.","격식_비즈니스,학술_논리"
"치환","2","어떤 대상을 다른 성질이나 존재로 바꾸어 놓음","마음속의 공허함을 물질이나 일시적인 자극으로 ____하려 드는 시도는, 목마른 이에게 짠 바닷물을 건네는 것처럼 갈증을 더할 뿐이다.","학술_논리"
"통계적","2","수치와 데이터에 따르는 것","인간의 복잡한 슬픔과 상실감은 결코 차가운 ____ 수치로 환산하거나 재단할 수 없는 고유한 영역이다.","학술_논리"
"파열","2","굳건해 보이던 관계나 사회적 질서가 충돌에 의해 찢어지고 해체됨","오랜 갈등 끝에 견고해 보이던 두 사람의 관계는 결국 ____에 이르렀다.","사회_기본,학술_논리"
"편익","2","편리하고 유익함","기술의 발달이 가져다준 압도적인 ____ 이면에는, 고독을 견디지 못하고 끊임없이 무언가에 접속해야만 하는 현대인의 불안이 숨어 있다.","격식_비즈니스"
"포괄적","2","어떤 대상이나 현상을 넓은 범위 안에 묶어 아우르는 것","단편적인 실수 하나로 그 사람 전체를 평가하기보다는, 그의 삶이 가진 맥락을 ____으로 이해하려는 시선이 필요하다.","학술_논리"
"할당","2","각자의 몫을 갈라 나눔","하루 24시간 중 단 10분이라도 온전히 나 자신만을 마주하기 위한 시간으로 ____해 두는 것은 내면에 주는 최소한의 예의다.","격식_비즈니스"
"합리성","2","이치와 논리에 어긋나지 않고 타당한 성질","차가운 ____의 잣대 아래 인간의 생생한 감정과 눈물을 비효율이라 섣불리 단죄해서는 안 된다.","학술_논리"
"합리화","2","자신의 비겁한 행동이나 선택에 그럴듯한 이유를 대어 정당하게 만듦","과거의 비겁했던 도망을 생존을 위한 어쩔 수 없는 일이었다고 ____하려 할수록, 내면의 거울은 더 뿌옇게 흐려질 뿐이다.","감정_심리,학술_논리"
"허무","2","사물이나 존재의 가치를 찾지 못하여 마음속이 텅 비고 덧없음","우리를 영원히 채워줄 것 같은 세속적 성공의 화려함 뒤에는, 언제나 쓸쓸한 눈물과 ____의 찬 그림자가 짙게 뒤따르고 있다.","감정_심리"
