번호,DAY,단어,원문 단어,한자,한자 뜻풀이,출처,품사,뜻
0017,DAY 01,지급,지급01,支給,"가를 지, 넉넉할 급",2016수능A/B,명사,"(1) 돈이나 물품 따위를 정하여진 몫만큼 내줌. ≒ 방지05(放支).
¶ 이자 지급 / 위문품 지급 / 회사 자체의 운영난으로 몇 개월씩 돈 지급 기간이
늦어질 때도 있는데, 이때에는 이 할 공제까지 하여 전표를 팔 때도 있었다.
≪황석영, 어둠의 자식들≫
(2) {법률} 채무를 변제하기 위하여 금전이나 어음 따위를 채권자에게 줌. (반) (1)수취
03."
0018,DAY 01,만료,만료,滿了,"찰 만, 마칠 료",2016수능A/B,명사,"기한이 다 차서 끝남.
¶ 임기 만료."
0019,DAY 01,임대인,임대인,賃貸人,"품팔이 임, 빌릴 대, 사람 인",2016수능A/B,명사,{법률} 임대차 계약에 따라 돈을 받고 다른 사람에게 물건을 빌려준 사람. (반)임차인.
0020,DAY 01,선고,선고04,宣告,"베풀 선, 알릴 고",2016수능A/B,명사,"(1) 선언하여 널리 알림.
¶ 퇴장 선고
(2) {법률} 공판정에서 재판장이 판결을 알리는 일. 이로써 재판의 효력이 생기며 판결 원본
을 낭독하고 필요한 경우에는 이유의 요지를 설명하여야 한다. ≒ 언도.
¶ 벌금 선고 / 무죄 선고."
0021,DAY 01,부가,부가02,附加,"붙을 부, 더할 가",2016수능A/B,명사,"주된 것에 덧붙임.
¶ 부가 정보 / 부가 기능."
0022,DAY 01,형성,형성01,形成,"모양 형, 이룰 성",2016수능A/B,명사,"어떤 형상을 이룸.
¶ 자본 형성 / 고대 국가의 형성 / 민족의식의 형성과 전개."
0023,DAY 01,지시,지시02,指示,"손가락 지, 보일 시",2016수능A/B,명사,"(1) 가리켜 보임.
(2) 일러서 시킴. 또는 그 내용.
¶ 지시 사항 / 지시가 내리다. / 지시에 따르다. / 지시를 받다. / 상부의 지시를
기다리다
(3) {법률} 상급 기관이 하급 기관에 대하여 개별적이고 구체적으로 발하는 행정 규칙.
(4) {법률} 증권에 기재한 내용에 따라 어떤 사람을 권리자로 지정하는 일."
0024,DAY 01,경유,경유02,經由,"날 경, 말미암을, 유",2016수능A/B,명사,"(1) 어떤 곳을 거쳐 지남.
¶ 일본 경유 미국행 비행기.
(2) 사무 절차에서 어떤 부서를 거쳐 지남."
0025,DAY 01,사유,사유07,事由,"일 사, 말미암을, 유",2016수능A/B,명사,"일의 까닭. ≒ 연고
05(緣故)(1)·연유
06(緣由)·정유
05(情由).
¶ 사유를 묻다. / 사유를 밝히다. / 그가 영달의 고모를 아내로 맞이한 데는 그만
한 사유가 있었다. ≪김춘복, 쌈짓골≫"
0026,DAY 01,성취,성취02,成就,"이룰 성, 이룰 취",2016수능A/B,명사,"목적한 바를 이룸.
¶ 소원 성취 / 성취 의욕"
0027,DAY 01,작성,작성01,作成,"지을 작, 이룰 성",2016수능A/B,명사,"(1) 서류, 원고 따위를 만듦.
¶ 시간표 작성 / 서류 초안 작성 / 보고서 작성 / 프로그램 작성 / 기사 작성 /
계약서 작성.
(2) 운동 경기 따위에서, 기록에 남길 만한 일을 이루어 냄.
¶ 신기록 작성."
0028,DAY 01,국한,국한01,局限,"판 국, 한계 한",2016수능B,명사,"범위를 일정한 부분에 한정함. ≒ 한국
02(限局)."
0029,DAY 01,통제,통제02,統制,"큰 줄기, 통, 마를 제",2016수능B,명사,"(1) 일정한 방침이나 목적에 따라 행위를 제한하거나 제약함.
¶ 교통 통제 / 출입 통제 / 통제를 풀다
(2) 권력으로 언론·경제 활동 따위에 제한을 가하는 일.
¶ 언론 통제 / 물가 통제."
0030,DAY 01,거론,거론,擧論,"들 거, 말할 론",2016수능B,명사,"어떤 사항을 논제로 삼아 제기하거나 논의함.
¶ 이것은 더 이상 거론의 여지가 없는 문제이다."
0031,DAY 02,이상,이상09,理想,다스릴 이생각할 상,2016수능B,명사,"(1) 생각할 수 있는 범위 안에서 가장 완전하다고 여겨지는 상태.
¶ 이상을 향한 열정 / 높은 이상을 품다 / 이상을 실현하다 / 자넨 이미 이상으로
만 달아 있는 청년이 아니야. 현실에 몸담고 있는 성년이란 말일세.
≪이문열, 영웅시대≫
(2) {철학} 생각할 수 있는 가장 완전한 상태. 절대적인 지성이나 감정의 최고 형태로 실현
가능한 상대적 이상과 도달 불가능한 절대적 이상으로 구별할 수 있다."
0032,DAY 02,폄하,폄하,貶下,"떨어뜨릴, 폄, 아래 하",2016수능B,명사,"(1) 가치를 깎아내림.
¶ 패주로서의 의자왕은 마땅히 그 국멸의 책임을 짊어져야 할 군왕으로서 가차 없
는 폄하가 감수되고 있는 것이었다. ≪이청준, 춤추는 사제≫
(2) {역사} 치적이 좋지 못한 수령을 하등으로 깎아내리던 일."
0033,DAY 02,통용,통용,通用,"통할 통, 쓸 용",2016수능B,명사,"(1) 일반적으로 두루 씀.
¶ 화폐의 통용
(2) 서로 넘나들어 두루 씀."
0034,DAY 02,강제,강제01,强制,"굳셀 강, 마를 제",2016수능B,명사,"권력이나 위력(威力)으로 남의 자유의사를 억눌러 원하지 않는 일을 억지로 시킴.
¶ 강제 노동 / 강제 노역 / 강제 동원 / 강제 모병 / 강제로 일을 시키다"
0035,DAY 02,무지,무지06,無知,"없을 무, 알 지",2016수능B,명사,"(1) 아는 것이 없음.
¶ 무지를 깨우치다. / 무지를 자각하다. / 그것은 실로 가난과 무지가 낳은 비극이
었다.
(2) 미련하고 우악스러움."
0036,DAY 02,무모하다,무모하다02,無謨,"하다, 없을, 무, 꾀, 모",2016수능B,형용사,"앞뒤를 잘 헤아려 깊이 생각하는 신중성이나 꾀가 없다.
¶ 무모한 시도 / 무모한 짓 / 깊은 강물에 무모하게 뛰어들다."
0037,DAY 02,독선적,독선적,獨善的,"홀로 독, 착할 선, 어조사 적",2016수능B,"관형사, , 명사","자기 혼자만이 옳다고 믿고 행동하는 성향을 가진. 또는 그런 것.
¶ 독선적 성격 / 그의 가장 큰 약점은 지나치게 독선적이라는 데 있다."
0038,DAY 02,지적,지적01,知的,"알 지, 어조사 적",2016수능B,"관형사, , 명사","지식이나 지성에 관한. 또는 그런 것.
¶ 지적 능력 / 아이의 가족들은 사려가 깊고 지적 수준이 높습니다.
≪이원규, 훈장과 굴레≫"
0039,DAY 02,경영,경영02,經營,"날 경, 경영할 영",2016수능B,명사,"(1) 기업이나 사업 따위를 관리하고 운영함. ≒ 경기
06(經紀)(2).
¶ 경영 능력 / 경영의 합리화 / 회사의 경영 / 소유와 경영을 분리하다.
(2) 기초를 닦고 계획을 세워 어떤 일을 해 나감.
¶ 너는 네 생명이 속절없고 너의 직무, 너의 경영이 허무하다는 것을 알지 못하느
냐? ≪이양하, 이양하 수필선≫
(3) 계획을 세워 집을 지음.
¶ 동빈은 매달 변리만을 사십여 원씩 물어 나가는 것인데 동빈의 사업이란 주택지
경영이었다. ≪이태준, 화관≫"
0040,DAY 02,변환,변환03,變換,"변할 변, 바꿀 환",2016수능B,명사,"(1) 달라져서 바뀜. 또는 다르게 하여 바꿈.
¶ 변환 과정 / 변환을 가하다.
(2) {물리} 어떤 핵종(核種)이 다른 원소의 핵종으로 바뀜. 또는 그런 과정.
(3) {수학} 어떤 수식, 함수, 관계식 따위에서 하나 또는 여러 개의 변수를, 모든 위치에서
제각기 특정한 다른 변수 또는 변수를 포함한 다른 수식, 함수로 바꾸는 일.
(4) {수학} 일정한 법칙에 따라 기하학적 도형의 위치, 크기를 바꾸는 일. 도형의 평행 이동,
회전, 비례 변형 따위가 있다."
0041,DAY 02,파악,파악01,把握,"잡을 파, 쥘 악",2016수능B,명사,"(1) 손으로 잡아 쥠.
¶ 나는 그녀의 손을 쥐고 있는 나의 손에 더욱 강한 파악의 힘을 가하여 끌어당겼
다. ≪박경수, 동토≫
(2) 어떤 대상의 내용이나 본질을 확실하게 이해하여 앎.
¶ 인원 파악 / 검찰은 사건의 진상 파악에 나섰다. / 그는 눈치가 없어 분위기 파
악을 못했다. / 경찰은 용의자들의 신원 파악을 서둘렀다. / 그는 중대장으로 임
명된 이상 사 개 소대의 현황 파악이 급선무였다. ≪홍성원, 육이오≫"
0042,DAY 02,체화,체화03,體化,"몸 체, 될 화",2016수능B,명사,"(1) 물체로 변화함. 또는 물체로 변화하게 함.
(2) 생각, 사상, 이론 따위가 몸에 배어서 자기 것이 됨.
¶ 교수는 철학은 개념의 추상화가 아니라 몸을 통한 체화의 과정임을 강조했다."
0043,DAY 02,수반,수반07,隨伴,"따를 수, 짝 반",2016수능B,명사,"(1) 붙좇아서 따름.
(2) 어떤 일과 더불어 생김."
0044,DAY 02,가시적,가시적,可視的,"옳을, 가, 볼 시, 어조사, 적",2016수능B,"관형사, , 명사","눈으로 볼 수 있는. 또는 그런 것.
¶ 가시적 노력 / 가시적 성과 / 내 작품은 가시적 아름다움보다 내면의 아름다움을
추구한다. / 이번 회담에서 구체적이고 가시적인 결과를 도출할 수 있기를 기대
한다."
0045,DAY 02,배제,배제03,排除,"밀칠 배, 섬돌 제",2016수능B,명사,"받아들이지 아니하고 물리쳐 제외함.
¶ 폭력의 배제."
0046,DAY 02,유체,유체05,流體,"흐를 류, 몸 체",2016수능B,명사,"{물리} 기체와 액체를 아울러 이르는 말. ≒ 동체
03(動體)(2)·유동체.
¶ 유체가 흐르다. / 유체를 차단하다."
0047,DAY 02,압력,압력,壓力,"누를 압, 힘 력",2016수능B,명사,"(1) {물리} 두 물체가 접촉면을 경계로 하여 서로 그 면에 수직으로 누르는 단위 면적에서의
힘의 단위. 그 크기의 단위로는 dyn/㎠ 외에 공학에서는 kgW/㎠를 사용하고,
기상학에서는 밀리바, 헥토파스칼 따위를 사용한다.
¶ 고층 건물의 압력에도 견딜 수 있는 벽돌 / 압력이 높다. / 압력이 낮다.
(2) 권력이나 세력에 의하여 타인을 자기 의지에 따르게 하는 힘.
¶ 압력을 받다. / 압력을 가하다. / 주변의 압력에 떠밀리다. / 언론에 압력을 넣
다."
0048,DAY 02,상응,상응,相應,"서로 상, 응할 응",2016수능B,명사,"(1) 서로 응하거나 어울림.
(2) 서로 기맥이 통함."
0049,DAY 02,미미하다,미미하다02,微微,"하다, 작을, 미, 작을, 미",2016수능B,형용사,"보잘것없이 아주 작다.
¶ 땅속 깊숙이에서 울리는 지층이 움직이는 소리, 해일의 전조로 미미하게 흔들리
는 물살, 지붕 위를 핥으며 머무는 바람. ≪오정희, 중국인 거리≫"
0050,DAY 02,지속적,지속적,持續的,"가질 지, 이을 속, 어조사 적",2015수능A,"관형사, , 명사","어떤 상태가 오래 계속되는. 또는 그런 것.
¶ 지속적 경제 성장 / 지속적 관계"
0051,DAY 02,합성,합성01,合成,"합할 합, 이룰 성",2015수능A,명사,"(1) 둘 이상의 것을 합쳐서 하나를 이룸.
¶ 사진의 합성 / 합성 보석.
(2) {물리} 벡터, 힘 따위의 방향성이 있는 양을 둘 이상 합침. 또는 그런 일.
(3) {생물} 생물이 빛이나 유기물, 무기물의 산화에 의하여 얻은 에너지를 이용하여 유기 화
합물을 만듦. 또는 그런 작용.
(4) {수학} 두 가지 이상의 변환을 거듭 실행함. 또는 그런 일.
(5) {화학} 둘 이상의 원소를 화합하여 화합물을 만들거나, 간단한 화합물에서 복잡한 화합물
을 만듦. 또는 그런 일. ≒ 화학 합성(1)."
0052,DAY 02,생성,생성,生成,"날 생, 이룰 성",2015수능A,명사,"(1) 사물이 생겨남. 또는 사물이 생겨 이루어지게 함.
¶ 생성 과정 / 우주의 생성과 소멸 / 생성을 촉진하다.
(2) {철학} 이전에 없었던 어떤 사물이나 성질의 새로운 출현."
0053,DAY 02,섭취,섭취,攝取,"당길 섭, 취할 취",2015수능A,명사,"(1) 좋은 요소를 받아들임.
¶ 그로 해서 내 민족 문화의 개성이 마멸되는 것이라면 그것은 섭취가 아니오, 예
속이다. ≪김소운, 일본의 두 얼굴≫
(2) {불교} 자비심으로 중생을 거두어들임.
(3) {생물} 생물체가 양분 따위를 몸속에 빨아들이는 일.
¶ 지방 섭취를 줄이다. / 식생활 수준이 향상됨에 따라 동물성 단백질의 섭취가 급
격하게 증가하고 있다."
0054,DAY 02,손상,손상,損像,"덜 손, 형상 상",2015수능A,명사,"(1) 물체가 깨지거나 상함.
¶ 손상이 없다/도자기에 손상이 가다/그중의 한 명이 틀에 약간의 손상을 입혔습니
다만 간단히 수리해 계속 가동한 것으로 알고 있습니다.
≪조세희, 내 그물로 오는 가시고기≫
(2) 병이 들거나 다침.
¶ 뇌에 손상을 입다. / 전란 중에 질병이 만연하여 인명의 손상이 많았다.
(3) 품질이 변하여 나빠짐.
¶ 품질 손상을 막다. / 이 세탁기는 세탁물의 손상이 적다.
(4) 명예나 체면, 가치 따위가 떨어짐.
¶ 국위 손상 / 공주의 행동은 왕의 위엄에 상당한 손상을 가져왔다."
0055,DAY 02,효율,효율,效率,"본받을 효, 비율 률",2015수능A,명사,"(1) 들인 노력과 얻은 결과의 비율. ≒ 효과율.
¶ 효율을 떨어뜨리다. / 기술의 발달은 자연 자원 이용의 효율을 높여 주었다.
(2) {물리} 기계의 일한 양과 공급되는 에너지와의 비(比)."
0056,DAY 02,높다,높다,,,2015수능A,형용사,"(1) 아래에서 위까지의 길이가 길다.
¶ 굽이 높은 구두 / 산이 높다. / 서울에는 높은 고층 빌딩들이 즐비하다.
(2) 아래에서부터 위까지 벌어진 사이가 크다.
¶ 천장이 높다. / 가을에는 하늘이 높다.
(3) 수치로 나타낼 수 있는 온도, 습도, 압력 따위가 기준치보다 위에 있다.
¶ 높은 기온 / 압력이 높다. / 그는 혈압이 높다. / 장마철에는 습도가 높다.
(4) 품질, 수준, 능력, 가치 따위가 보통보다 위에 있다.
¶ 품질이 높은 가구 / 안목이 높다. / 소득이 높다. / 성적이 높다. / 그의 소설은
문학적 가치가 높다. / 독자들의 수준이 매우 높다.
(5) 값이나 비율 따위가 보통보다 위에 있다.
¶ 높은 이자율 / 높은 합격률 / 가격이 높은 물건
(6) 지위나 신분 따위가 보통보다 위에 있다.
¶ 지체 높은 양반 / 계급이 높다. / 신분이 높다. / 지위가 높을수록 책임도 커진
다.
(7) 소리가 음계에서 위쪽에 있거나 진동수가 큰 상태에 있다.
¶ 음성이 높은 소프라노 가수.
(8) 이름이나 명성 따위가 널리 알려진 상태에 있다.
¶ 명성이 높은 학자 / 악명이 높다. / 제주 감귤은 세계적으로 이름이 높다.
(9) 기세 따위가 힘차고 대단한 상태에 있다.
¶ 그는 투지가 높다. / 군사들의 사기가 높다 못해 하늘을 찌를 듯 하였다.
(10) 어떤 의견이 다른 의견보다 많고 우세하다.
¶ 비난의 소리가 높다. / 양심수를 석방하라는 목소리가 높다. / 형식적인 환경 정
책에 비판적인 여론이 높다.
(11) 꿈이나 이상 따위가 크고 원대하다.
¶ 젊은이여, 높은 이상을 가져라.
(12) 소리의 강도가 세다.
¶ 소리를 높여 외치다.
(13) (‘가능성’ 따위의 말과 함께 쓰여) 일어날 확률이 다른 것보다 크다.
¶ 내년에는 불황이 닥칠 가능성이 높다. / 그 회사는 성장 가능성이 높다고 평가되
었다."
0057,DAY 02,해당,해당05,該當,"그 해, 당할 당",2015수능A,명사,"(1) (주로 다른 명사 앞에 쓰여) 무엇에 관계되는 바로 그것.
¶ 해당 단체 / 해당 부서 / 해당 분야 / 해당 조건.
(2) 어떤 범위나 조건 따위에 바로 들어맞음. ‘들어맞음’으로 순화.
¶ 법률이 정한 조건에 해당 사항 없음."
0058,DAY 02,배출,배출02,排出,"밀칠 배, 날 출",2015수능A,명사,"(1) 안에서 밖으로 밀어 내보냄.
¶ 가스 배출 / 노폐물 배출 / 오염 물질 배출 / 공해 배출 업소 / 쓰레기 종량제
가 실시되자 쓰레기의 배출이 크게 줄었다.
(2) {생물} 동물이 섭취한 음식물을 소화하여 항문으로 내보내는 일."
0059,DAY 02,가령,가령05,假令,"거짓 가, 영 령",2015수능A,부사,"(1) 가정하여 말하여. ≒ 가사07(假使)·가약03(假若).
¶ 가령 너에게 그런 행운이 온다면 너는 어떻게 하겠니? / 가령 누가 너한테 그런
소릴 했다고 치자. ≪박태순, 어느 사학도의 젊은 시절≫
(2) 예를 들어. ‘이를테면’으로 순화.
¶ 사람은 누구나 소망을 가지고 있는데, 가령 나는 아주 부자가 되고 싶은 소망이
있어."
0060,DAY 02,포함,포함02,包含,"쌀 포, 머금을 함",2015수능A,명사,"(1) 어떤 사물이나 현상 가운데 함께 들어 있거나 함께 넣음.
(2) {논리} 어떤 명제 p에서 다른 명제 p'를 추론(推論)할 수 있을 때에, 명제 p'를 명제 p에
하나의 범주로 함께 넣을 수 있음을 이르는 말. 예를 들어 ‘모든 인간은 죽는다’
는 ‘소크라테스는 죽는다’를 포함한다고 말한다."
0061,DAY 03,반면,반면02,反面,"되돌릴 반, 낯 면",2015수능A,명사,"(흔히 ‘반면에’ 꼴로, ‘-은, -는’ 활용형 다음에 쓰여) 뒤에 오는 말이 앞의 내용과 상반됨을
나타내는 말.
¶ 그는 공부는 못하는 반면에 운동은 잘한다. / 봉사 활동은 힘이 드는 반면에 보
람이 있다"
0062,DAY 03,영상,영상01,映像,"비출 영, 형상 상",2015수능A,명사,"(1) {물리} 빛의 굴절이나 반사 등에 의하여 이루어진 물체의 상(像). ≒ 영상
05(影像)(2).
¶ 거울에 비친 영상.
(2) 머릿속에서 그려지는 모습이나 광경.
¶ 이 감정이 심할 때면 아이에게서 그이의 영상을 발견하는 일까지 있게 되었습니
다. ≪최정희, 인맥≫
(3) 영사막이나 브라운관, 모니터 따위에 비추어진 상.
¶ 영상 매체."
0063,DAY 03,가상,가상06,假像,"거짓 가, 형상 상",2015수능A,명사,실물처럼 보이는 거짓 형상.
0064,DAY 03,입력,입력,入力,"들 입, 힘 력",2015수능A,명사,"(1) {물리} 전기적 · 기계적 에너지를 발생 또는 변환하는 장치가 단위 시간 동안 받은 에
너지의 양(量).
(2) {컴퓨터} 문자나 숫자를 컴퓨터가 기억하게 하는 일. ≒ 인풋(2)."
0065,DAY 03,더욱,더욱,,,2015수능A,부사,"정도나 수준 따위가 한층 심하거나 높게. ≒ 우극
01(尤極).
¶ 더욱 붉어지는 노을 / 더욱 세차게 내리는 비 / 아이들은 더욱 신명이 나서 떠
들어 댄다."
0066,DAY 03,처리,처리02,處理,"살 처, 다스릴 리",2015수능A,명사,"(1) 사무나 사건 따위를 절차에 따라 정리하여 치르거나 마무리를 지음.
¶ 행정 처리 / 사고 처리 비용 / 새 컴퓨터는 처리 속도가 빨랐다.
(2) 일정한 결과를 얻기 위하여 화학적 또는 물리적 작용을 일으킴.
¶ 화학적 처리 / 폐수 처리 시설을 설치하다"
0067,DAY 03,기획,기획01,企劃,"꾀할 기, 그을 획",2015수능A,명사,"일을 꾀하여 계획함.
¶ 기획 기사 / 기획 상품 / 그 기획 자체는 참신한 것이라 할 수 없었다."
0068,DAY 03,수행,수행02,遂行,"이를 수, 갈 행",2015수능A,명사,"생각하거나 계획한 대로 일을 해냄.
¶ 업무 수행 / 전쟁 수행에 필요한 군수품을 생산하다. / 정당은 국가의 중요한
정책 결정과 수행을 보조할 수 있어야 한다. / 전 사원은 직무 수행 능력을 향
상시켜야 한다."
0069,DAY 03,유형,유형02,有形,"있을 유, 모양 형",2015수능A,명사,"형상이나 형체가 있음.
¶ 유형의 자산."
0070,DAY 03,열람,열람,閱覽,"검열할 열, 볼 람",2015수능A,명사,"책이나 문서 따위를 죽 훑어보거나 조사하면서 봄.
¶ 북한 관련 서적은 일반인의 열람이 제한되어 있다."
0071,DAY 03,충당,충당01,充當,"찰 충, 당할 당",2015수능A,명사,"모자라는 것을 채워 메움.
¶ 자원 충당 / 사업 자금 충당 / 인력 충당"
0072,DAY 03,경감,경감04,輕減,"가벼울 경, 덜 감",2015수능A,명사,"부담이나 고통 따위를 덜어서 가볍게 함.
¶ 세금의 경감 / 형기의 경감 / 사무 자동화로 인건비의 경감을 꾀한다. / 도시
노동자의 생활비 경감을 위한 농산물 저가 정책을 실시한다."
0073,DAY 03,개선,개선01,改善,"고칠 개, 착할 선",2015수능A,명사,"잘못된 것이나 부족한 것, 나쁜 것 따위를 고쳐 더 좋게 만듦.
¶ 입시 제도 개선 / 유통 구조 개선 / 관계 개선을 위하여 노력하다. / 개선 방안
을 알아보다."
0074,DAY 03,저해,저해01,沮害,"막을 저, 해칠 해",2015수능A,명사,"막아서 못하도록 해침.
¶ 저해 요인 / 우리 사회에 뿌리 깊게 남아 있는 성차별 의식은 사회 발전에 커다
란 저해 요소로 작용한다."
0075,DAY 03,지불,지불02,支拂,"가를 지, 떨 불",2015수능A,명사,"돈을 내어 줌. 또는 값을 치름. ‘지급01’, ‘치름’으로 순화. ≒ 지발01(支撥).
¶ 임금 지불 / 지불 기한 / 지불 능력 / 지불을 미루다 / 지불이 끝나다 / 대금
지불을 요구하다"
0076,DAY 03,경합,경합,競合,"겨룰 경, 합할 합",2015수능A,명사,"(1) 서로 맞서 겨룸. ‘겨룸’, ‘견줌’, ‘경쟁’, ‘다툼’으로 순화.
¶ 공천을 받기 위해 경합에 나선 두 후보의 공방이 치열하다. / 공사권을 따기 위
한 기업들의 경합이 치열하다. / 올림픽 유치를 두고 두 도시가 치열한 경합을
벌이고 있다.
(2) {법률} 단일한 사실 또는 요건에 대한 평가나 평가의 효력이 중복되는 일.
(3) {법률} 사법(私法)에서 동일한 대상에 대하여 같은 효력을 가지는 권리가 중복되는 일.
(4) {법률} 형법(刑法)에서 동일한 행위가 여러 개의 죄명에 해당하는 일."
0077,DAY 03,공공,공공02,公共,"공변될 공, 함께 공",2015수능A,명사,"국가나 사회의 구성원에게 두루 관계되는 것.
¶ 공공 기관 / 공공 도서관 / 공공 생활 / 공공 청사 / 공공의 이익 / 공공의 복
지"
0078,DAY 03,제공,제공04,提供,"끌 제, 이바지할, 공",2015수능A,명사,"무엇을 내주거나 갖다 바침.
¶ 숙식 제공 / 자료 제공 / 정보 제공 / 선거 기간에는 금품 및 향응 제공이 법으
로 금지되고 있다."
0079,DAY 03,재원,재원02,財源,"재물 재, 근원 원",2015수능A,명사,"재화나 자금이 나올 원천. ≒ 재본(財本).
¶ 재원을 확보하다. / 재원이 고갈되다. / 재원이 풍부하다."
